"id_droits_agent","id_agent","code_service","libelle_service","date_modification","version"
"3727","9004171","BABA","Cabinet du Maire","2015-03-13T14:09:03.487","0"
"3728","9004602","BABA","Cabinet du Maire","2015-03-13T14:09:03.487","0"
"3729","9005616","BABA","Cabinet du Maire","2015-03-13T14:09:03.487","0"
"3730","9003909","BABA","Cabinet du Maire","2015-03-13T14:09:03.487","0"
"3731","9005095","BACA","Cellule Communication","2015-03-13T14:09:03.487","0"
"3732","9003923","BACA","Cellule Communication","2015-03-13T14:09:03.487","0"
"3733","9004745","BACA","Cellule Communication","2015-03-13T14:09:03.487","0"
"3734","9005245","BACA","Cellule Communication","2015-03-13T14:09:03.487","0"
"3735","9004250","BACA","Cellule Communication","2015-03-13T14:09:03.487","0"
"3746","9005170","DABB","SMP Section Secrétariat des Elus","2015-03-13T14:09:03.488","0"
"3747","9004365","DABB","SMP Section Secrétariat des Elus","2015-03-13T14:09:03.488","0"
"3748","9003930","DABC","SMP Secrétariat et Accueil du Maire","2015-03-13T14:09:03.488","0"
"3749","9004056","DABC","SMP Secrétariat et Accueil du Maire","2015-03-13T14:09:03.488","0"
"3751","9002726","DADA","Cellule du Conseil Municipal","2015-03-13T14:09:03.488","0"
"3752","9003762","DADA","Cellule du Conseil Municipal","2015-03-13T14:09:03.488","0"
"3753","9005266","DADA","Cellule du Conseil Municipal","2015-03-13T14:09:03.488","0"
"3755","9004600","DAEA","Cellule de Prévention des Risques Urbains","2015-03-13T14:09:03.488","0"
"3759","9002902","DAGA","Direction Police municipale","2015-03-13T14:09:03.488","0"
"3760","9005310","DAGA","Direction Police municipale","2015-03-13T14:09:03.488","0"
"3761","9005316","DAGA","Direction Police municipale","2015-03-13T14:09:03.488","0"
"3762","9005314","DAGA","Direction Police municipale","2015-03-13T14:09:03.488","0"
"3763","9005309","DAGA","Direction Police municipale","2015-03-13T14:09:03.488","0"
"3764","9005311","DAGA","Direction Police municipale","2015-03-13T14:09:03.488","0"
"3765","9005313","DAGA","Direction Police municipale","2015-03-13T14:09:03.488","0"
"3766","9005312","DAGA","Direction Police municipale","2015-03-13T14:09:03.488","0"
"3767","9005307","DAGA","Direction Police municipale","2015-03-13T14:09:03.488","0"
"3768","9002970","DAGA","Direction Police municipale","2015-03-13T14:09:03.488","0"
"3769","9005317","DAGG","DPM Unité Voie Publique","2015-03-13T14:09:03.489","0"
"3770","9005425","DAGB","DPM Centre Administratif et Budgétaire","2015-03-13T14:09:03.489","0"
"3771","9003138","DAGB","DPM Centre Administratif et Budgétaire","2015-03-13T14:09:03.489","0"
"3772","9005399","DAGB","DPM Centre Administratif et Budgétaire","2015-03-13T14:09:03.489","0"
"3773","9005526","DAGB","DPM Centre Administratif et Budgétaire","2015-03-13T14:09:03.489","0"
"3774","9003510","DAGC","DPM Centre Technique","2015-03-13T14:09:03.489","0"
"3775","9004225","DAGC","DPM Centre Technique","2015-03-13T14:09:03.489","0"
"3776","9004051","DAGC","DPM Centre Technique","2015-03-13T14:09:03.489","0"
"3777","9003384","DAGD","DPM Plateforme Technique Opérationnelle","2015-03-13T14:09:03.489","0"
"3778","9003394","DAGD","DPM Plateforme Technique Opérationnelle","2015-03-13T14:09:03.489","0"
"5105","9005131","DCCB","SED Département Maintenance et Développement","2015-05-11T09:11:24.485","0"
"3780","9004228","DAGD","DPM Plateforme Technique Opérationnelle","2015-03-13T14:09:03.489","0"
"3781","9003785","DAGD","DPM Plateforme Technique Opérationnelle","2015-03-13T14:09:03.489","0"
"3782","9003506","DAGD","DPM Plateforme Technique Opérationnelle","2015-03-13T14:09:03.489","0"
"3783","9003789","DAGD","DPM Plateforme Technique Opérationnelle","2015-03-13T14:09:03.489","0"
"3784","9003714","DAGD","DPM Plateforme Technique Opérationnelle","2015-03-13T14:09:03.489","0"
"3785","9003719","DAGD","DPM Plateforme Technique Opérationnelle","2015-03-13T14:09:03.489","0"
"3786","9004226","DAGD","DPM Plateforme Technique Opérationnelle","2015-03-13T14:09:03.489","0"
"3787","9004979","DAGD","DPM Plateforme Technique Opérationnelle","2015-03-13T14:09:03.489","0"
"5106","9005138","DCCA","DSI Service Etudes et Développement","2015-05-11T09:11:24.618","0"
"3789","9004369","DAGD","DPM Plateforme Technique Opérationnelle","2015-03-13T14:09:03.489","0"
"5107","9004932","DCCA","DSI Service Etudes et Développement","2015-05-11T09:11:24.699","0"
"3791","9005495","DAGD","DPM Plateforme Technique Opérationnelle","2015-03-13T14:09:03.489","0"
"3792","9005496","DAGD","DPM Plateforme Technique Opérationnelle","2015-03-13T14:09:03.489","0"
"3793","9005491","DAGD","DPM Plateforme Technique Opérationnelle","2015-03-13T14:09:03.489","0"
"3794","9005490","DAGD","DPM Plateforme Technique Opérationnelle","2015-03-13T14:09:03.489","0"
"3795","9005492","DAGD","DPM Plateforme Technique Opérationnelle","2015-03-13T14:09:03.489","0"
"3796","9004671","DAGD","DPM Plateforme Technique Opérationnelle","2015-03-13T14:09:03.489","0"
"3797","9004148","DAGD","DPM Plateforme Technique Opérationnelle","2015-03-13T14:09:03.489","0"
"3798","9002963","DAGD","DPM Plateforme Technique Opérationnelle","2015-03-13T14:09:03.489","0"
"3799","9003294","DAGD","DPM Plateforme Technique Opérationnelle","2015-03-13T14:09:03.489","0"
"5108","9004117","DCCA","DSI Service Etudes et Développement","2015-05-11T09:11:24.866","0"
"3801","9005250","DAGD","DPM Plateforme Technique Opérationnelle","2015-03-13T14:09:03.489","0"
"3802","9003396","DAGD","DPM Plateforme Technique Opérationnelle","2015-03-13T14:09:03.490","0"
"3803","9003364","DAGD","DPM Plateforme Technique Opérationnelle","2015-03-13T14:09:03.490","0"
"3804","9003338","DAGD","DPM Plateforme Technique Opérationnelle","2015-03-13T14:09:03.490","0"
"3805","9003367","DAGD","DPM Plateforme Technique Opérationnelle","2015-03-13T14:09:03.490","0"
"3806","9002778","DAGE","DPM Unité Prévention Contrôles","2015-03-13T14:09:03.490","0"
"3807","9002790","DAGE","DPM Unité Prévention Contrôles","2015-03-13T14:09:03.490","0"
"3808","9002939","DAGE","DPM Unité Prévention Contrôles","2015-03-13T14:09:03.490","0"
"3809","9003982","DAGE","DPM Unité Prévention Contrôles","2015-03-13T14:09:03.490","0"
"3810","9003006","DAGE","DPM Unité Prévention Contrôles","2015-03-13T14:09:03.490","0"
"3811","9004982","DAGE","DPM Unité Prévention Contrôles","2015-03-13T14:09:03.490","0"
"3812","9004379","DAGE","DPM Unité Prévention Contrôles","2015-03-13T14:09:03.490","0"
"3813","9004239","DAGE","DPM Unité Prévention Contrôles","2015-03-13T14:09:03.490","0"
"3814","9003146","DAGE","DPM Unité Prévention Contrôles","2015-03-13T14:09:03.490","0"
"3815","9004980","DAGE","DPM Unité Prévention Contrôles","2015-03-13T14:09:03.490","0"
"3816","9004913","DAGE","DPM Unité Prévention Contrôles","2015-03-13T14:09:03.490","0"
"3817","9003717","DAGE","DPM Unité Prévention Contrôles","2015-03-13T14:09:03.490","0"
"3818","9003412","DAGE","DPM Unité Prévention Contrôles","2015-03-13T14:09:03.490","0"
"3819","9004801","DAGE","DPM Unité Prévention Contrôles","2015-03-13T14:09:03.490","0"
"3820","9003427","DAGE","DPM Unité Prévention Contrôles","2015-03-13T14:09:03.490","0"
"3821","9002903","DAGE","DPM Unité Prévention Contrôles","2015-03-13T14:09:03.490","0"
"3822","9002252","DAGE","DPM Unité Prévention Contrôles","2015-03-13T14:09:03.490","0"
"3823","9003251","DAGE","DPM Unité Prévention Contrôles","2015-03-13T14:09:03.490","0"
