"id_droits_agent","id_agent","code_service","libelle_service","date_modification","version","id_service_ads"
"4894","9004385","ECCB","DEPEV Secrétariat","2015-03-13T14:09:03.521","3","NULL"
"4905","9003282","ECCB","DEPEV Secrétariat","2015-03-13T14:09:03.521","3","NULL"
"5347","9005673","DEEA","DASP Service Juridique et du Contentieux","2015-06-08T14:11:47.167","1","NULL"
"5348","9005662","DEEA","DASP Service Juridique et du Contentieux","2015-06-08T14:11:47.241","1","NULL"
"5349","9005657","DEEA","DASP Service Juridique et du Contentieux","2015-06-08T14:11:47.297","1","NULL"
"5556","9004421","DAAB","SG Section Administrative et Comptable","2015-06-24T10:32:54.164","1","NULL"
"3759","9002902","DAGA","Direction Police municipale","2015-03-13T14:09:03.488","0","NULL"
"3761","9005316","DAGA","Direction Police municipale","2015-03-13T14:09:03.488","0","NULL"
"3762","9005314","DAGA","Direction Police municipale","2015-03-13T14:09:03.488","0","NULL"
"3763","9005309","DAGA","Direction Police municipale","2015-03-13T14:09:03.488","0","NULL"
"3764","9005311","DAGA","Direction Police municipale","2015-03-13T14:09:03.488","0","NULL"
"3765","9005313","DAGA","Direction Police municipale","2015-03-13T14:09:03.488","0","NULL"
"3766","9005312","DAGA","Direction Police municipale","2015-03-13T14:09:03.488","0","NULL"
"3767","9005307","DAGA","Direction Police municipale","2015-03-13T14:09:03.488","0","NULL"
"3768","9002970","DAGA","Direction Police municipale","2015-03-13T14:09:03.488","0","NULL"
"5884","9005729","EBCF","DB Marché Municipal","2015-09-01T07:59:10.315","0","NULL"
"3770","9005425","DAGB","DPM Centre Administratif et Budgétaire","2015-03-13T14:09:03.489","0","NULL"
"3771","9003138","DAGB","DPM Centre Administratif et Budgétaire","2015-03-13T14:09:03.489","0","NULL"
"3773","9005526","DAGB","DPM Centre Administratif et Budgétaire","2015-03-13T14:09:03.489","0","NULL"
"3774","9003510","DAGC","DPM Centre Technique","2015-03-13T14:09:03.489","0","NULL"
"3775","9004225","DAGC","DPM Centre Technique","2015-03-13T14:09:03.489","0","NULL"
"3776","9004051","DAGC","DPM Centre Technique","2015-03-13T14:09:03.489","0","NULL"
"3778","9003394","DAGD","DPM Plateforme Technique Opérationnelle","2015-03-13T14:09:03.489","0","NULL"
"5885","9005729","EBCF","DB Marché Municipal","2015-09-01T08:01:21.651","1","NULL"
"5887","9005460","EABD","SCAF Section Proximité Intervention","2015-09-01T15:37:46.061","0","NULL"
"5888","9004684","EABD","SCAF Section Proximité Intervention","2015-09-01T15:37:46.133","0","NULL"
"5889","9005534","EABD","SCAF Section Proximité Intervention","2015-09-01T15:37:46.184","0","NULL"
"5890","9004661","EABD","SCAF Section Proximité Intervention","2015-09-01T15:37:46.237","0","NULL"
"5767","9004506","DFCJ","SVQ Pôle Vie de la Cité - MMQ","2015-07-28T13:09:34.327","1","NULL"
"5768","9005305","DFCB","SVQ Section Administrative et Comptable","2015-07-28T13:09:34.433","1","NULL"
"5631","9005719","DECA","DASP Service du Courrier","2015-06-29T16:07:13.773","1","NULL"
"5891","9005179","EABD","SCAF Section Proximité Intervention","2015-09-01T15:37:46.287","0","NULL"
"5892","9003883","EABD","SCAF Section Proximité Intervention","2015-09-01T15:37:46.337","0","NULL"
"5893","9005619","EABD","SCAF Section Proximité Intervention","2015-09-01T15:37:46.394","0","NULL"
"5834","9005356","DDCB","DRH SCR Section Gestion des Carrières","2015-08-04T07:53:24.921","0","NULL"
"4543","9004568","DFED","SMS Section Animations Sportives","2015-03-13T14:09:03.511","7","NULL"
"5835","9005730","DBBC","DF SEB Section des Recettes","2015-08-12T13:35:26.745","3","NULL"
"4544","9004766","DFED","SMS Section Animations Sportives","2015-03-13T14:09:03.511","7","NULL"
"5838","9005722","DGCA","DAEDU Service du Développement Urbain","2015-08-12T14:00:13.162","2","NULL"
"4545","9005538","DFED","SMS Section Animations Sportives","2015-03-13T14:09:03.511","7","NULL"
"4546","9005133","DFED","SMS Section Animations Sportives","2015-03-13T14:09:03.511","7","NULL"
"5840","9004028","EBFC","DEVEA Subdivision Exploitation Voirie","2015-08-17T08:20:19.535","5","NULL"
"3806","9002778","DAGE","DPM Unité Prévention Contrôles","2015-03-13T14:09:03.490","0","NULL"
"3807","9002790","DAGE","DPM Unité Prévention Contrôles","2015-03-13T14:09:03.490","0","NULL"
"3808","9002939","DAGE","DPM Unité Prévention Contrôles","2015-03-13T14:09:03.490","0","NULL"
"3809","9003982","DAGE","DPM Unité Prévention Contrôles","2015-03-13T14:09:03.490","0","NULL"
"3810","9003006","DAGE","DPM Unité Prévention Contrôles","2015-03-13T14:09:03.490","0","NULL"
"3812","9004379","DAGE","DPM Unité Prévention Contrôles","2015-03-13T14:09:03.490","0","NULL"
"3813","9004239","DAGE","DPM Unité Prévention Contrôles","2015-03-13T14:09:03.490","0","NULL"
"3816","9004913","DAGE","DPM Unité Prévention Contrôles","2015-03-13T14:09:03.490","0","NULL"
