"id_pointage","id_agent","id_type_pointage","date_lundi","date_debut","date_fin","quantite","id_pointage_parent","id_ref_prime","is_hsup_recuperee","id_comment_motif","id_comment_commentaire","version","id_ref_type_absence","is_hsup_rappel_service","id_motif_hsup"
"10098","9004447","3","2015-08-03T00:00:00.000","2015-08-03T00:00:00.000","NULL","480","NULL","28","NULL","NULL","NULL","0","NULL","NULL","NULL"
"10099","9004447","3","2015-08-03T00:00:00.000","2015-08-04T00:00:00.000","NULL","480","NULL","28","NULL","NULL","NULL","0","NULL","NULL","NULL"
"10100","9004447","3","2015-08-03T00:00:00.000","2015-08-05T00:00:00.000","NULL","480","NULL","28","NULL","NULL","NULL","0","NULL","NULL","NULL"
"10101","9004447","3","2015-08-03T00:00:00.000","2015-08-06T00:00:00.000","NULL","480","NULL","28","NULL","NULL","NULL","0","NULL","NULL","NULL"
"4132","9003386","2","2015-06-22T00:00:00.000","2015-06-26T15:30:00.000","2015-06-26T21:00:00.000","NULL","NULL","NULL","false","NULL","969","1","NULL","false","2"
"325","9004979","3","2015-06-08T00:00:00.000","2015-06-12T21:00:00.000","2015-06-13T05:00:00.000","NULL","NULL","9","NULL","NULL","NULL","2","NULL","NULL","NULL"
"61","9004984","3","2015-06-01T00:00:00.000","2015-06-06T21:00:00.000","2015-06-07T07:00:00.000","NULL","NULL","9","NULL","NULL","NULL","0","NULL","NULL","NULL"
"36","9004979","3","2015-06-01T00:00:00.000","2015-06-05T13:00:00.000","2015-06-05T21:00:00.000","NULL","NULL","9","NULL","NULL","NULL","2","NULL","NULL","NULL"
"8","9004979","3","2015-06-01T00:00:00.000","2015-06-01T21:00:00.000","2015-06-02T05:00:00.000","NULL","NULL","9","NULL","NULL","NULL","2","NULL","NULL","NULL"
"68","9003388","3","2015-06-01T00:00:00.000","2015-06-05T21:00:00.000","2015-06-06T07:00:00.000","NULL","NULL","9","NULL","NULL","NULL","0","NULL","NULL","NULL"
"323","9003162","3","2015-06-08T00:00:00.000","2015-06-11T13:00:00.000","2015-06-11T21:00:00.000","NULL","NULL","9","NULL","NULL","NULL","2","NULL","NULL","NULL"
"58","9004373","3","2015-06-01T00:00:00.000","2015-06-06T21:00:00.000","2015-06-07T07:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"57","9004373","3","2015-06-01T00:00:00.000","2015-06-05T05:00:00.000","2015-06-05T13:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"48","9005317","3","2015-06-01T00:00:00.000","2015-06-06T23:00:00.000","2015-06-07T05:00:00.000","NULL","NULL","9","NULL","NULL","31","1","NULL","NULL","NULL"
"26","9005317","3","2015-06-01T00:00:00.000","2015-06-04T21:00:00.000","2015-06-05T05:00:00.000","NULL","NULL","9","NULL","NULL","14","1","NULL","NULL","NULL"
"25","9005317","3","2015-06-01T00:00:00.000","2015-06-03T05:00:00.000","2015-06-03T13:00:00.000","NULL","NULL","9","NULL","NULL","13","1","NULL","NULL","NULL"
"83","9004798","3","2015-06-01T00:00:00.000","2015-06-07T21:00:00.000","2015-06-08T06:15:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"82","9004798","3","2015-06-01T00:00:00.000","2015-06-06T05:00:00.000","2015-06-06T13:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"81","9004798","3","2015-06-01T00:00:00.000","2015-06-05T13:00:00.000","2015-06-05T21:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"16","9003781","3","2015-06-01T00:00:00.000","2015-06-02T05:00:00.000","2015-06-02T13:00:00.000","NULL","NULL","9","NULL","NULL","5","1","NULL","NULL","NULL"
"14","9003781","3","2015-06-01T00:00:00.000","2015-06-01T05:00:00.000","2015-06-01T13:00:00.000","NULL","NULL","9","NULL","NULL","3","1","NULL","NULL","NULL"
"52","9004231","3","2015-06-01T00:00:00.000","2015-06-06T21:00:00.000","2015-06-07T07:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"51","9004231","3","2015-06-01T00:00:00.000","2015-06-05T05:00:00.000","2015-06-05T13:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"50","9004231","3","2015-06-01T00:00:00.000","2015-06-04T13:00:00.000","2015-06-04T21:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"5371","9004187","2","2015-07-06T00:00:00.000","2015-07-12T13:00:00.000","2015-07-12T21:30:00.000","NULL","NULL","NULL","false","NULL","1319","1","NULL","false","2"
"88","9005315","3","2015-06-01T00:00:00.000","2015-06-07T21:00:00.000","2015-06-08T06:15:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"87","9005315","3","2015-06-01T00:00:00.000","2015-06-05T13:00:00.000","2015-06-05T21:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"13","9003162","3","2015-06-01T00:00:00.000","2015-06-03T21:00:00.000","2015-06-04T05:00:00.000","NULL","NULL","9","NULL","NULL","NULL","2","NULL","NULL","NULL"
"23","9004239","3","2015-06-01T00:00:00.000","2015-06-05T08:00:00.000","2015-06-05T18:00:00.000","NULL","NULL","9","NULL","NULL","11","2","NULL","NULL","NULL"
"22","9004239","3","2015-06-01T00:00:00.000","2015-06-05T00:00:00.000","NULL","420","NULL","24","NULL","NULL","NULL","2","NULL","NULL","NULL"
"28","9003719","3","2015-06-01T00:00:00.000","2015-06-03T05:00:00.000","2015-06-03T13:00:00.000","NULL","NULL","9","NULL","NULL","16","2","NULL","NULL","NULL"
"40","9005077","3","2015-06-01T00:00:00.000","2015-06-05T23:00:00.000","2015-06-06T05:00:00.000","NULL","NULL","9","NULL","NULL","23","1","NULL","NULL","NULL"
"38","9004233","3","2015-06-01T00:00:00.000","2015-06-06T21:00:00.000","2015-06-07T05:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"37","9004233","3","2015-06-01T00:00:00.000","2015-06-05T05:00:00.000","2015-06-05T13:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"29","9004233","3","2015-06-01T00:00:00.000","2015-06-04T13:00:00.000","2015-06-04T21:00:00.000","NULL","NULL","9","NULL","NULL","17","1","NULL","NULL","NULL"
"31","9003779","3","2015-06-01T00:00:00.000","2015-06-05T21:00:00.000","2015-06-06T05:00:00.000","NULL","NULL","9","NULL","NULL","19","1","NULL","NULL","NULL"
"30","9003779","3","2015-06-01T00:00:00.000","2015-06-04T05:00:00.000","2015-06-04T13:00:00.000","NULL","NULL","9","NULL","NULL","18","1","NULL","NULL","NULL"
"341","9003779","3","2015-06-08T00:00:00.000","2015-06-14T05:00:00.000","2015-06-14T13:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"77","9003372","3","2015-06-01T00:00:00.000","2015-06-07T21:00:00.000","2015-06-08T06:15:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"76","9003372","3","2015-06-01T00:00:00.000","2015-06-06T05:00:00.000","2015-06-06T13:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"75","9003372","3","2015-06-01T00:00:00.000","2015-06-05T13:00:00.000","2015-06-05T21:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"5374","9005710","2","2015-06-22T00:00:00.000","2015-06-24T15:30:00.000","2015-06-24T16:30:00.000","NULL","NULL","NULL","true","NULL","NULL","1","NULL","false","20"
"327","9004148","3","2015-06-08T00:00:00.000","2015-06-12T21:00:00.000","2015-06-13T05:00:00.000","NULL","NULL","9","NULL","NULL","NULL","2","NULL","NULL","NULL"
"326","9004148","3","2015-06-08T00:00:00.000","2015-06-11T05:00:00.000","2015-06-11T13:00:00.000","NULL","NULL","9","NULL","NULL","NULL","2","NULL","NULL","NULL"
"92","9003146","3","2015-06-01T00:00:00.000","2015-06-07T05:00:00.000","2015-06-07T13:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"91","9003146","3","2015-06-01T00:00:00.000","2015-06-06T13:00:00.000","2015-06-06T21:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"93","9003146","3","2015-06-08T00:00:00.000","2015-06-08T21:00:00.000","2015-06-09T05:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6","9004148","3","2015-06-01T00:00:00.000","2015-06-01T21:00:00.000","2015-06-02T05:00:00.000","NULL","NULL","9","NULL","NULL","NULL","2","NULL","NULL","NULL"
"337","9003789","3","2015-06-08T00:00:00.000","2015-06-13T13:00:00.000","2015-06-13T21:00:00.000","NULL","NULL","9","NULL","NULL","NULL","2","NULL","NULL","NULL"
"86","9004985","3","2015-06-01T00:00:00.000","2015-06-07T21:00:00.000","2015-06-08T06:15:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"85","9004985","3","2015-06-01T00:00:00.000","2015-06-06T05:00:00.000","2015-06-06T13:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"84","9004985","3","2015-06-01T00:00:00.000","2015-06-05T13:00:00.000","2015-06-05T21:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"62","9004984","3","2015-06-01T00:00:00.000","2015-06-07T23:00:00.000","2015-06-08T05:00:00.000","NULL","NULL","9","NULL","NULL","32","1","NULL","NULL","NULL"
"60","9004984","3","2015-06-01T00:00:00.000","2015-06-05T05:00:00.000","2015-06-05T13:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"59","9004984","3","2015-06-01T00:00:00.000","2015-06-04T13:00:00.000","2015-06-04T21:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"35","9003415","3","2015-06-01T00:00:00.000","2015-06-05T21:00:00.000","2015-06-06T07:15:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"34","9003415","3","2015-06-01T00:00:00.000","2015-06-04T07:00:00.000","2015-06-04T17:30:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"54","9003793","3","2015-06-01T00:00:00.000","2015-06-05T05:00:00.000","2015-06-05T13:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"53","9003793","3","2015-06-01T00:00:00.000","2015-06-04T13:00:00.000","2015-06-04T21:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"32","9003789","3","2015-06-01T00:00:00.000","2015-06-05T21:00:00.000","2015-06-06T05:00:00.000","NULL","NULL","9","NULL","NULL","20","2","NULL","NULL","NULL"
"27","9004226","3","2015-06-01T00:00:00.000","2015-06-04T21:00:00.000","2015-06-05T05:00:00.000","NULL","NULL","9","NULL","NULL","15","2","NULL","NULL","NULL"
"33","9005310","3","2015-06-01T00:00:00.000","2015-06-05T21:00:00.000","2015-06-06T05:00:00.000","NULL","NULL","9","NULL","NULL","21","2","NULL","NULL","NULL"
"73","9005312","3","2015-06-01T00:00:00.000","2015-06-07T13:00:00.000","2015-06-07T21:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"44","9005312","3","2015-06-01T00:00:00.000","2015-06-06T23:00:00.000","2015-06-07T05:00:00.000","NULL","NULL","9","NULL","NULL","27","1","NULL","NULL","NULL"
"41","9005312","3","2015-06-01T00:00:00.000","2015-06-05T23:00:00.000","2015-06-06T05:00:00.000","NULL","NULL","9","NULL","NULL","24","1","NULL","NULL","NULL"
"17","9005346","3","2015-06-01T00:00:00.000","2015-06-02T05:00:00.000","2015-06-02T13:00:00.000","NULL","NULL","9","NULL","NULL","6","1","NULL","NULL","NULL"
"15","9005346","3","2015-06-01T00:00:00.000","2015-06-01T05:00:00.000","2015-06-01T13:00:00.000","NULL","NULL","9","NULL","NULL","4","1","NULL","NULL","NULL"
"65","9004987","3","2015-06-01T00:00:00.000","2015-06-04T13:00:00.000","2015-06-05T05:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"46","9004987","3","2015-06-01T00:00:00.000","2015-06-06T23:00:00.000","2015-06-07T05:00:00.000","NULL","NULL","9","NULL","NULL","29","1","NULL","NULL","NULL"
"47","9005314","3","2015-06-01T00:00:00.000","2015-06-06T23:00:00.000","2015-06-07T05:00:00.000","NULL","NULL","9","NULL","NULL","30","1","NULL","NULL","NULL"
"21","9004239","2","2015-06-01T00:00:00.000","2015-06-05T15:00:00.000","2015-06-05T18:00:00.000","NULL","NULL","NULL","true","NULL","10","1","NULL","false","20"
"24","9005310","3","2015-06-01T00:00:00.000","2015-06-03T13:00:00.000","2015-06-03T21:00:00.000","NULL","NULL","9","NULL","NULL","12","2","NULL","NULL","NULL"
"10","9003373","3","2015-06-01T00:00:00.000","2015-06-02T21:00:00.000","NULL","NULL","NULL","9","NULL","NULL","NULL","2","NULL","NULL","NULL"
"94","9003981","3","2015-06-08T00:00:00.000","2015-06-08T21:00:00.000","2015-06-09T05:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"9","9003373","3","2015-06-01T00:00:00.000","2015-06-01T05:00:00.000","2015-06-01T13:00:00.000","NULL","NULL","9","NULL","NULL","NULL","2","NULL","NULL","NULL"
"72","9005316","3","2015-06-01T00:00:00.000","2015-06-07T13:00:00.000","2015-06-07T21:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"90","9005313","3","2015-06-01T00:00:00.000","2015-06-07T21:00:00.000","2015-06-08T06:15:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"89","9005313","3","2015-06-01T00:00:00.000","2015-06-06T05:00:00.000","2015-06-06T13:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"70","9003385","3","2015-06-01T00:00:00.000","2015-06-07T13:00:00.000","2015-06-07T21:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"74","9005042","3","2015-06-01T00:00:00.000","2015-06-07T13:00:00.000","2015-06-07T21:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"4","9004229","2","2015-06-01T00:00:00.000","2015-06-02T10:30:00.000","2015-06-02T13:30:00.000","NULL","NULL","NULL","true","NULL","2","1","NULL","false","20"
"3","9004229","2","2015-06-01T00:00:00.000","2015-06-01T09:30:00.000","2015-06-01T13:30:00.000","NULL","NULL","NULL","true","NULL","1","1","NULL","false","20"
"69","9003388","3","2015-06-01T00:00:00.000","2015-06-06T23:00:00.000","2015-06-07T06:30:00.000","NULL","NULL","9","NULL","NULL","34","1","NULL","NULL","NULL"
"64","9004980","3","2015-06-01T00:00:00.000","2015-06-06T21:00:00.000","2015-06-07T07:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"63","9004980","3","2015-06-01T00:00:00.000","2015-06-05T05:00:00.000","2015-06-05T13:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
