"id_ventil_task","id_agent","id_agent_creation","date_creation","type_chaine_paie","id_type_pointage","id_ventil_date_from","id_ventil_date_to","date_ventilation","task_status","version"
"2","9003397","9003742","2015-07-02T09:41:16.682","SHC","NULL","2","4","2015-07-02T09:42:03.126","OK","0"
"4","9004373","9003742","2015-07-02T09:41:16.699","SHC","NULL","2","4","2015-07-02T09:42:06.264","OK","0"
"5","9003338","9003742","2015-07-02T09:41:16.712","SHC","NULL","2","4","2015-07-02T09:42:06.900","OK","0"
"6","9005317","9003742","2015-07-02T09:41:16.715","SHC","NULL","2","4","2015-07-02T09:42:08.460","OK","0"
"7","9003983","9003742","2015-07-02T09:41:16.723","SHC","NULL","2","4","2015-07-02T09:42:09.979","OK","0"
"9","9004986","9003742","2015-07-02T09:41:16.733","SHC","NULL","2","4","2015-07-02T09:42:14.238","OK","0"
"10","9003085","9003742","2015-07-02T09:41:16.753","SHC","NULL","2","4","2015-07-02T09:42:15.515","OK","0"
"11","9004798","9003742","2015-07-02T09:41:16.758","SHC","NULL","2","4","2015-07-02T09:42:18.282","OK","0"
"12","9003781","9003742","2015-07-02T09:41:16.761","SHC","NULL","2","4","2015-07-02T09:42:19.328","OK","0"
"14","9004231","9003742","2015-07-02T09:41:16.771","SHC","NULL","2","4","2015-07-02T09:42:21.581","OK","0"
"15","9003373","9003742","2015-07-02T09:41:16.775","SHC","NULL","2","4","2015-07-02T09:42:22.605","OK","0"
"16","9003377","9003742","2015-07-02T09:41:16.782","SHC","NULL","2","4","2015-07-02T09:42:23.596","OK","0"
"18","9005315","9003742","2015-07-02T09:41:16.800","SHC","NULL","2","4","2015-07-02T09:42:25.237","OK","0"
"19","9003714","9003742","2015-07-02T09:41:16.831","SHC","NULL","2","4","2015-07-02T09:42:27.149","OK","0"
"20","9003412","9003742","2015-07-02T09:41:16.838","SHC","NULL","2","4","2015-07-02T09:42:28.348","OK","0"
"21","9005077","9003742","2015-07-02T09:41:16.843","SHC","NULL","2","4","2015-07-02T09:42:30.419","OK","0"
"23","9004647","9003742","2015-07-02T09:41:16.858","SHC","NULL","2","4","2015-07-02T09:42:30.942","OK","0"
"24","9004223","9003742","2015-07-02T09:41:16.871","SHC","NULL","2","4","2015-07-02T09:42:32.762","OK","0"
"25","9004377","9003742","2015-07-02T09:41:16.880","SHC","NULL","2","4","2015-07-02T09:42:34.895","OK","0"
"27","9004233","9003742","2015-07-02T09:41:16.899","SHC","NULL","2","4","2015-07-02T09:42:38.649","OK","0"
"28","9003513","9003742","2015-07-02T09:41:16.902","SHC","NULL","2","4","2015-07-02T09:42:41.319","OK","0"
"29","9004511","9003742","2015-07-02T09:41:16.917","SHC","NULL","2","4","2015-07-02T09:42:41.773","OK","0"
"30","9003779","9003742","2015-07-02T09:41:16.921","SHC","NULL","2","4","2015-07-02T09:42:43.561","OK","0"
"32","9004979","9003742","2015-07-02T09:41:16.928","SHC","NULL","2","4","2015-07-02T09:42:45.909","OK","0"
"33","9003146","9003742","2015-07-02T09:41:16.932","SHC","NULL","2","4","2015-07-02T09:42:47.261","OK","0"
"34","9003162","9003742","2015-07-02T09:41:16.938","SHC","NULL","2","4","2015-07-02T09:42:48.591","OK","0"
"35","9004985","9003742","2015-07-02T09:41:16.945","SHC","NULL","2","4","2015-07-02T09:42:50.047","OK","0"
"37","9003415","9003742","2015-07-02T09:41:16.958","SHC","NULL","2","4","2015-07-02T09:42:54.007","OK","0"
