"id_droit","id_droits_agent"
"1142","5840"
"1657","5619"
"1543","5840"
"1544","5840"
"1657","5620"
"1086","6472"
"1151","5760"
"1151","5761"
"1151","5762"
"1855","4016"
"1855","4015"
"1855","6472"
"1855","6473"
"1920","6087"
"1920","6706"
"1920","6707"
"1049","3755"
"1514","5138"
"1054","3760"
"1521","6318"
"1521","6319"
"1521","6320"
"1521","6321"
"1521","6322"
"1129","6407"
"1146","6743"
"1051","3768"
"1658","5618"
"1051","3770"
"1052","3771"
"1658","5619"
"1052","3773"
"1051","3774"
"1053","3775"
"1053","3776"
"1054","3777"
"1051","3778"
"1825","5980"
"1054","3780"
"1054","3781"
"1054","3782"
"1054","3783"
"1054","3784"
"1054","3785"
"1054","3786"
"1054","3787"
"1825","6324"
"1054","3789"
"1151","5763"
"1054","3791"
"1054","3792"
"1054","3793"
"1054","3794"
"1054","3795"
"1054","3796"
"1054","3797"
"1054","3798"
"1054","3799"
"1855","6474"
"1054","3801"
"1054","3802"
"1054","3803"
"1070","5144"
"1054","3805"
"1051","3806"
"1055","3807"
"1055","3808"
"1055","3809"
"1055","3810"
"1658","5620"
"1055","3812"
"1055","3813"
"1660","5618"
"1660","5619"
"1055","3816"
"1055","3817"
"1055","3818"
"1660","5620"
"1055","3820"
"1055","3821"
"1056","3822"
"1056","3823"
"1855","6475"
"1056","3825"
"1056","3826"
"1855","4021"
"1056","3828"
"1919","6704"
"1855","6476"
"1056","3831"
"1056","3832"
"1051","3833"
"1057","3834"
"1855","6477"
"1057","3836"
"1057","3837"
"1057","3838"
"1057","3839"
"1855","6478"
"1057","3841"
"1855","6479"
"1855","6480"
"1855","6481"
"1051","3845"
"1919","6744"
"1825","6328"
"1825","6329"
"1825","6331"
"1855","6482"
"1825","6332"
"1160","4921"
"1825","6336"
"1825","6337"
"1855","6483"
"1825","6338"
"1824","6711"
"1825","6341"
"1587","6435"
"1824","6324"
"1875","6729"
"1824","6712"
"1824","6327"
"1824","6328"
"1824","6329"
"1151","5764"
"1824","6330"
"1824","6331"
"1824","6332"
"1824","6334"
"1160","6770"
"1824","6336"
"1824","6337"
"1824","6338"
"1824","6713"
"1151","5765"
"1824","6341"
"1871","6436"
"1898","6438"
"1452","6439"
"1715","6439"
"1452","6440"
"1452","6443"
"1823","5980"
"1823","6067"
"1855","6484"
"1823","6068"
"1823","6324"
"1933","3969"
"1855","6485"
"1084","6714"
"1823","6327"
"1151","5766"
"1823","6328"
"1100","5767"
"1855","6486"
"1055","3897"
"1855","6487"
"1823","6329"
"1823","6331"
"1823","6332"
"1823","6334"
"1059","3904"
"1823","5949"
"1441","6807"
"1503","6807"
"1855","6488"
"1055","5125"
"1138","5111"
"1138","5112"
"1504","6807"
"1946","6407"
"1947","6407"
"1855","6489"
"1061","3916"
"1855","6490"
"1855","6491"
"1855","6492"
"1855","6493"
"1525","5350"
"1059","3922"
"1253","5111"
"1855","6494"
"1948","6407"
"1253","5112"
"1069","3929"
"1069","3930"
"1115","5113"
"1405","5113"
"1070","3933"
"1070","3934"
"1070","3935"
"1525","5351"
"1070","3937"
"1070","3938"
"1070","3939"
"1070","3940"
"1470","5113"
"1525","5352"
"1525","5353"
"1086","6742"
"1239","6742"
"1525","5356"
"1470","4602"
"1072","3948"
"1072","3949"
"1072","3950"
"1072","3951"
"1072","3952"
"1470","4604"
"1470","4613"
"1470","4617"
"1072","3953"
"1072","3954"
"1072","3955"
"1529","5254"
"1529","5255"
"1529","5256"
"1529","5257"
"1074","3961"
"1074","3962"
"1100","5768"
"1182","5767"
"1182","5768"
"1529","5258"
"1523","5350"
"1076","3969"
"1879","6089"
"1077","3971"
"1576","3982"
"1077","3973"
"1523","5351"
"1822","6763"
"1160","6771"
"1874","6439"
"1713","6439"
"1452","6441"
"1824","6067"
"1452","6442"
"1822","6764"
"1594","5453"
"1523","6740"
"1772","5909"
"1777","5044"
"1077","6729"
"1082","3990"
"1587","6069"
"1772","5910"
"1822","6711"
"1822","6712"
"1825","6711"
"1825","6712"
"1825","6713"
"1437","6714"
"1799","6710"
"1113","6715"
"1165","6415"
"1084","4002"
"1587","6070"
"1587","6071"
"1084","4005"
"1084","4006"
"1777","5048"
"1713","6440"
"1084","4009"
"1084","4010"
"1084","4011"
"1587","6072"
"1165","6753"
"1085","4014"
"1085","4015"
"1085","4016"
"1855","6495"
"1824","5980"
"1474","4958"
"1085","4020"
"1085","4021"
"1439","5980"
"1855","6496"
"1523","6741"
"1855","6497"
"1855","6498"
"1855","6499"
"1855","6500"
"1855","6501"
"1855","6502"
"1855","6503"
"1855","6504"
"1855","6505"
"1855","6506"
"1855","6507"
"1855","6508"
"1855","6509"
"1855","6510"
"1855","6511"
"1855","6512"
"1855","6513"
"1855","6514"
"1855","6515"
"1855","6516"
"1855","6517"
"1855","6518"
"1855","6519"
"1855","6520"
"1855","6521"
"1855","6522"
"1855","6523"
"1855","6524"
"1855","6525"
"1855","6526"
"1855","6527"
"1855","6528"
"1855","6529"
"1855","6530"
"1855","6531"
"1855","6532"
"1855","6533"
"1855","6534"
"1855","6535"
"1855","6536"
"1855","6537"
"1855","6538"
"1855","6539"
"1855","6540"
"1855","6541"
"1855","6542"
"1855","6543"
"1855","6544"
"1855","6545"
"1855","6546"
"1855","6547"
"1855","6548"
"1855","6549"
"1086","6163"
"1855","6550"
"1855","6551"
"1855","6552"
"1855","6553"
"1855","6554"
"1855","6555"
"1855","6556"
"1855","6557"
"1855","6558"
"1855","6559"
"1855","6560"
"1855","6561"
"1855","6562"
"1855","6563"
"1855","6564"
"1855","6565"
"1855","6566"
"1855","6567"
"1855","6568"
"1855","6569"
"1855","6570"
"1855","6571"
"1855","6572"
"1855","6573"
"1855","6574"
"1855","6575"
"1855","6576"
"1855","6577"
"1074","6317"
"1855","6578"
"1855","6579"
"1855","6580"
"1855","6581"
"1855","6582"
"1855","6583"
"1855","6584"
"1855","6585"
"1855","6586"
"1855","6587"
"1855","6588"
"1855","6589"
"1855","6590"
"1530","4696"
"1855","6591"
"1855","6592"
"1855","6593"
"1855","6594"
"1855","6595"
"1855","6596"
"1855","6597"
"1855","6598"
"1855","6599"
"1855","6600"
"1855","6601"
"1855","6602"
"1855","6603"
"1855","6604"
"1855","6605"
"1855","6606"
"1855","6607"
"1855","6608"
"1855","6609"
"1855","6610"
"1855","6611"
"1855","6612"
"1855","6613"
"1855","6614"
"1855","6615"
"1855","6616"
"1855","6617"
"1855","6618"
"1855","6619"
"1855","6620"
"1855","6621"
"1855","6622"
"1855","6623"
"1855","6624"
"1855","6625"
"1855","6626"
"1102","6451"
"1855","6628"
"1855","6629"
"1855","6630"
"1097","5769"
"1855","6631"
"1855","6632"
"1855","6633"
"1855","6634"
"1855","6635"
"1855","6636"
"1855","6637"
"1097","5770"
"1855","6638"
"1855","6639"
"1855","6640"
"1855","6641"
"1855","6642"
"1855","6643"
"1855","6644"
"1855","6645"
"1855","6646"
"1855","6647"
"1855","6648"
"1855","6649"
"1855","6650"
"1855","6651"
"1855","6652"
"1855","6653"
"1855","6654"
"1855","6655"
"1855","6656"
"1855","6657"
"1855","6658"
"1855","6659"
"1855","6660"
"1855","6661"
"1855","6662"
"1855","6663"
"1822","5980"
"1530","4697"
"1855","6664"
"1855","6665"
"1855","6666"
"1855","6667"
"1855","6668"
"1855","6669"
"1855","6670"
"1855","6671"
"1452","5991"
"1855","6672"
"1855","6673"
"1855","6674"
"1855","6675"
"1855","6676"
"1855","6677"
"1439","5930"
"1855","6678"
"1855","6679"
"1771","5932"
"1855","6680"
"1855","6681"
"1855","6682"
"1855","6683"
"1855","6684"
"1855","6685"
"1855","6686"
"1094","5983"
"1720","5983"
"1855","6687"
"1855","6688"
"1855","6689"
"1855","6690"
"1855","6691"
"1855","6692"
"1855","6693"
"1855","6694"
"1452","5992"
"1855","6695"
"1855","6696"
"1855","6697"
"1855","6698"
"1855","4020"
"1855","6699"
"1086","6488"
"1086","6487"
"1086","6691"
"1086","6690"
"1530","4698"
"1086","6558"
"1086","6612"
"1086","6495"
"1086","6496"
"1086","6499"
"1086","6625"
"1086","6555"
"1086","6588"
"1086","6498"
"1086","6545"
"1086","6497"
"1086","6686"
"1086","6534"
"1086","6486"
"1086","6580"
"1086","6494"
"1086","6685"
"1086","6493"
"1086","6553"
"1086","6492"
"1086","6620"
"1086","6481"
"1086","6482"
"1086","6483"
"1086","6484"
"1086","6485"
"1086","6480"
"1086","6563"
"1086","6650"
"1823","6763"
"1086","6607"
"1086","6618"
"1086","6698"
"1086","6637"
"1086","6508"
"1086","6610"
"1086","6608"
"1086","6622"
"1086","6477"
"1086","6633"
"1086","6586"
"1086","6576"
"1086","6621"
"1086","6515"
"1086","6645"
"1086","6669"
"1086","6694"
"1086","6631"
"1086","6656"
"1086","6674"
"1086","6623"
"1086","6666"
"1086","6643"
"1086","6619"
"1086","6660"
"1086","6642"
"1086","6651"
"1086","6589"
"1086","6672"
"1086","6572"
"1086","6644"
"1086","6630"
"1086","6667"
"1086","6671"
"1086","6626"
"1086","6591"
"1086","6559"
"1086","6567"
"1086","6519"
"1086","6571"
"1086","6629"
"1086","6680"
"1086","6536"
"1240","6163"
"1086","6654"
"1086","6611"
"1086","6542"
"1086","6658"
"1086","6574"
"1086","6560"
"1086","6528"
"1086","6628"
"1086","6541"
"1086","6613"
"1086","6577"
"1086","6501"
"1086","6530"
"1086","6624"
"1086","6659"
"1086","6678"
"1086","6638"
"1086","6500"
"1086","6679"
"1086","6614"
"1086","6517"
"1086","6527"
"1086","6640"
"1086","6593"
"1086","6639"
"1086","6677"
"1086","6584"
"1086","6647"
"1141","6318"
"1086","6522"
"1086","6569"
"1086","6673"
"1086","6525"
"1086","6535"
"1086","6514"
"1086","6663"
"1086","6549"
"1086","6556"
"1086","6585"
"1086","6474"
"1086","6652"
"1086","6566"
"1086","6582"
"1086","6695"
"1086","6564"
"1086","6592"
"1086","6504"
"1086","6676"
"1715","6440"
"1822","6068"
"1086","6605"
"1530","5149"
"1086","6681"
"1523","5352"
"1055","5126"
"1055","5127"
"1086","6616"
"1086","6648"
"1086","6617"
"1530","5150"
"1530","5152"
"1086","6636"
"1086","6561"
"1086","6579"
"1086","6634"
"1097","5771"
"1086","6506"
"1086","6661"
"1086","6688"
"1086","6537"
"1086","6604"
"1055","5128"
"1086","6675"
"1086","6609"
"1086","6479"
