"id_droits_agent","id_agent","date_modification","version"
"5834","9005356","2015-08-04T07:53:24.921","0"
"6472","9005217","2016-03-18T09:37:29.093","5"
"6317","9005541","2016-01-14T09:45:17.553","0"
"6473","9005546","2016-03-21T09:41:58.316","5"
"6474","9003730","2016-03-21T09:41:51.393","5"
"5983","9005748","2015-11-23T13:27:45.748","2"
"5932","9004337","2015-10-09T14:29:28.852","0"
"6476","9004269","2016-03-21T09:41:54.262","5"
"5984","9003066","2015-11-23T13:33:04.645","1"
"6477","9002525","2016-03-21T09:41:46.850","5"
"5980","9005453","2015-11-25T14:29:14.828","9"
"5949","9005716","2015-11-06T15:25:49.884","6"
"6478","9004329","2016-03-21T09:41:55.250","5"
"6479","9004037","2016-03-21T09:41:52.904","5"
"6744","9002726","2016-05-20T15:24:08.889","0"
"6436","9003790","2016-02-19T14:08:35.929","2"
"5982","9005123","2015-11-16T12:49:47.350","8"
"6791","9005798","2016-06-15T14:25:17.619","0"
"6793","9004209","2016-06-17T09:15:57.566","0"
"6714","9005461","2016-04-13T13:46:44.824","1"
"5930","9005519","2015-11-24T13:58:11.780","22"
"6751","9005351","2016-05-30T13:41:05.265","1"
"5998","9005728","2015-11-24T13:49:14.086","10"
"6480","9004890","2016-03-21T09:41:46.021","5"
"6440","9003891","2016-02-24T11:17:14.165","3"
"6794","9005810","2016-06-21T07:23:07.838","0"
"6807","9005138","2016-07-04T11:15:19.881","2"
"6329","9005772","2016-02-04T07:23:33.943","3"
"6790","9005797","2016-06-13T09:00:35.719","2"
"5934","9005677","2015-10-16T08:02:44.367","2"
"6481","9004885","2016-03-21T09:41:45.648","5"
"6800","9005154","2016-06-23T10:16:27.950","2"
"6801","9003580","2016-06-23T10:16:28.018","2"
"5938","9005724","2015-10-23T12:48:27.168","3"
"6802","9003705","2016-06-23T10:16:28.081","2"
"6803","9004032","2016-06-23T10:16:28.145","2"
"6795","9005808","2016-06-21T11:16:25.439","5"
"6078","9005742","2015-11-27T14:37:03.332","2"
"6752","9005803","2016-05-31T10:23:07.291","0"
"6084","9005736","2015-12-14T09:44:20.887","2"
"6085","9005220","2015-12-14T09:44:20.942","0"
"6068","9004152","2015-11-25T14:29:14.763","3"
"6073","9005148","2015-11-26T10:31:17.235","2"
"5936","9005735","2015-10-20T17:49:11.899","2"
"5037","9004511","2015-04-07T14:19:13.395","5"
"6344","9005779","2016-02-10T13:19:46.073","2"
"6318","9004612","2016-01-15T12:34:52.778","2"
"6392","9003415","2016-02-16T10:36:34.539","2"
"6345","9005781","2016-02-12T13:35:27.746","5"
"6320","9004877","2016-01-15T12:34:53.265","2"
"6407","9005767","2016-02-17T13:32:18.054","5"
"6760","9003909","2016-06-07T09:30:28.086","0"
"6804","9005136","2016-06-23T10:22:10.650","2"
"6393","9005307","2016-02-16T10:42:19.216","2"
"6394","9005309","2016-02-16T10:42:27.984","2"
"6395","9005311","2016-02-16T10:42:43.033","2"
"6805","9005137","2016-06-23T10:22:10.726","2"
"6396","9005312","2016-02-16T10:42:52.978","2"
"6482","9004886","2016-03-21T09:41:45.717","5"
"5038","9003417","2015-04-07T14:19:13.451","5"
"6742","9004080","2016-05-12T07:21:28.740","3"
"5941","9005613","2015-11-06T08:14:54.519","4"
"6483","9004887","2016-03-21T09:41:45.784","5"
"6397","9005313","2016-02-16T10:43:00.607","2"
"6484","9004888","2016-03-21T09:41:45.851","5"
"6485","9004889","2016-03-21T09:41:45.949","5"
"6486","9004813","2016-03-21T09:41:45.063","5"
"6487","9004692","2016-03-21T09:41:44.110","5"
"6488","9004668","2016-03-21T09:41:44.044","5"
"6086","9002902","2015-12-21T12:20:21.731","2"
"5939","9004312","2015-10-26T14:01:36.763","5"
"5039","9004317","2015-04-07T14:19:13.544","6"
"5040","9005367","2015-04-07T14:19:13.616","5"
"5053","9003573","2015-04-07T14:19:14.555","5"
"5061","9003410","2015-04-07T14:19:15.075","6"
"5062","9002753","2015-04-07T14:19:15.157","5"
"5063","9004241","2015-04-07T14:19:15.248","5"
"5064","9003674","2015-04-07T14:19:15.344","5"
"5065","9003386","2015-04-07T14:19:15.399","5"
"5066","9003262","2015-04-07T14:19:15.455","5"
"5067","9004647","2015-04-07T14:19:15.512","5"
"5068","9004109","2015-04-07T14:19:15.572","6"
"5069","9004562","2015-04-07T14:19:15.627","5"
"5070","9004222","2015-04-07T14:19:15.682","6"
"5071","9005633","2015-04-07T14:19:15.740","5"
"5072","9004564","2015-04-07T14:19:15.849","5"
"5073","9005412","2015-04-07T14:19:15.907","5"
"5074","9004737","2015-04-07T14:19:15.966","5"
"5075","9005471","2015-04-07T14:19:16.026","5"
"5076","9005347","2015-04-07T14:19:16.082","5"
"5077","9004563","2015-04-07T14:19:16.141","5"
