"id_export_etats_payeur_task","id_agent","date_creation","date_export","type_chaine_paie","id_ventil_date","task_status","version"
"1","9004955","2015-07-09T15:17:55.534","2015-07-09T15:20:45.073","SHC","4","OK","0"
"2","9004955","2015-07-20T11:14:34.528","2015-07-20T11:15:24.063","SCV","5","OK","0"
"3","9004955","2015-08-14T07:44:28.712","2015-08-14T07:46:10.635","SHC","6","OK","0"
"4","9004955","2015-08-24T09:46:32.736","2015-08-24T09:50:23.031","SCV","7","OK","0"
"5","9004955","2015-09-14T09:43:07.211","2015-09-14T09:45:45.697","SHC","8","OK","0"
"6","9004955","2015-09-18T10:37:47.560","2015-09-18T10:40:40.406","SCV","9","OK","0"
"7","9004955","2015-10-12T11:59:37.630","2015-10-12T12:01:34.810","SHC","10","OK","0"
"8","9004735","2015-10-20T13:26:27.853","2015-10-20T13:31:49.523","SCV","11","OK","0"
"9","9004955","2015-11-10T13:37:54.717","2015-11-10T13:41:19.935","SHC","12","OK","0"
"10","9004955","2015-11-20T14:53:27.885","2015-11-20T14:57:35.359","SCV","13","OK","0"
"11","9004955","2015-12-08T10:24:33.989","2015-12-08T10:26:00.813","SHC","14","Erreur: An error occured while querying the following URL 'http://ws.sirh.site-mairie.noumea.nc/sirh-ptg-ws/etatsPayeur/startExportTask?idExportEtatsPayeurTask=11' with parameters ''. HTTP Status code is : 500.","0"
"12","9004955","2015-12-08T11:23:55.585","2015-12-08T11:27:15.097","SHC","14","OK","0"
"13","9004955","2015-12-14T09:53:24.372","2015-12-14T09:57:09.430","SCV","15","OK","0"
"14","9004955","2016-01-14T09:07:58.268","2016-01-14T09:13:05.500","SHC","16","OK","0"
"15","9004955","2016-01-20T10:45:26.096","2016-01-20T10:51:53.793","SCV","17","OK","0"
"16","9004955","2016-02-09T07:15:00.227","2016-02-09T07:22:01.972","SHC","18","OK","0"
"17","9004735","2016-02-22T07:45:11.902","2016-02-22T07:53:49.688","SCV","19","Erreur: An error occured while querying the following URL 'http://ws.sirh.site-mairie.noumea.nc/sirh-ptg-ws/etatsPayeur/finishExportTask?idExportEtatsPayeurTask=17' with parameters ''. HTTP Status code is : 504.","0"
"18","9004735","2016-03-08T14:29:23.090","2016-03-08T14:32:21.572","SHC","20","OK","0"
"19","9004735","2016-03-18T09:00:45.124","2016-03-18T09:07:26.487","SCV","21","OK","0"
"20","9004735","2016-04-11T08:51:28.872","2016-04-11T08:57:47.309","SHC","22","OK","0"
"21","9003742","2016-04-20T08:07:17.853","2016-04-20T08:13:02.351","SCV","23","OK","0"
"22","9004955","2016-05-10T08:51:54.646","2016-05-10T08:57:14.762","SHC","24","OK","0"
"23","9004955","2016-05-19T11:14:51.448","2016-05-19T11:17:59.924","SCV","25","OK","0"
"24","9004955","2016-06-09T12:02:46.560","2016-06-09T12:08:32.324","SHC","26","OK","0"
"25","9004955","2016-06-20T13:50:51.419","2016-06-20T13:58:42.068","SCV","27","Erreur: An error occured while querying the following URL 'http://ws.sirh.site-mairie.noumea.nc/sirh-ptg-ws/etatsPayeur/finishExportTask?idExportEtatsPayeurTask=25' with parameters ''. HTTP Status code is : 504.","0"
