"id_pointage_calcule","id_agent","date_lundi","date_debut","date_fin","quantite","id_ref_type_pointage","id_ref_prime","etat","id_ventil_date","version"
"30959","9003719","2016-05-09T00:00:00.000","2016-05-12T00:00:00.000","NULL","1","3","6","7","28","4"
"30958","9003719","2016-05-09T00:00:00.000","2016-05-13T00:00:00.000","NULL","1","3","6","7","28","4"
"30963","9003719","2016-05-16T00:00:00.000","2016-05-18T00:00:00.000","NULL","1","3","6","7","28","4"
"30964","9003719","2016-05-16T00:00:00.000","2016-05-17T00:00:00.000","NULL","1","3","6","7","28","4"
"30961","9003719","2016-05-16T00:00:00.000","2016-05-22T00:00:00.000","NULL","480","3","4","7","28","4"
"30960","9003719","2016-05-16T00:00:00.000","2016-05-19T00:00:00.000","NULL","480","3","1","7","28","4"
"30957","9003719","2016-05-09T00:00:00.000","2016-05-14T00:00:00.000","NULL","480","3","1","7","28","4"
"30962","9003719","2016-05-16T00:00:00.000","2016-05-22T00:00:00.000","NULL","1","3","6","7","28","4"
"30956","9003719","2016-05-02T00:00:00.000","2016-05-02T00:00:00.000","NULL","1","3","6","7","28","4"
"10874","9004373","2015-08-24T00:00:00.000","2015-08-29T00:00:00.000","NULL","480","3","1","9","10","3"
"10875","9004373","2015-08-24T00:00:00.000","2015-08-24T00:00:00.000","NULL","60","3","1","9","10","3"
"10876","9004373","2015-08-24T00:00:00.000","2015-08-29T00:00:00.000","NULL","1","3","6","9","10","3"
"10877","9004373","2015-08-24T00:00:00.000","2015-08-28T00:00:00.000","NULL","1","3","6","9","10","3"
"10878","9004373","2015-08-24T00:00:00.000","2015-08-27T00:00:00.000","NULL","1","3","6","9","10","3"
"10879","9004373","2015-08-24T00:00:00.000","2015-08-24T00:00:00.000","NULL","1","3","6","9","10","3"
"10880","9004373","2015-08-31T00:00:00.000","2015-09-04T00:00:00.000","NULL","480","3","1","9","10","3"
"10881","9004373","2015-08-31T00:00:00.000","2015-09-03T00:00:00.000","NULL","1","3","6","9","10","3"
"10882","9004373","2015-08-31T00:00:00.000","2015-09-02T00:00:00.000","NULL","1","3","6","9","10","3"
"10883","9004373","2015-09-07T00:00:00.000","2015-09-09T00:00:00.000","NULL","480","3","1","9","10","3"
"10884","9004373","2015-09-07T00:00:00.000","2015-09-13T00:00:00.000","NULL","480","3","4","9","10","3"
"10885","9004373","2015-09-07T00:00:00.000","2015-09-13T00:00:00.000","NULL","1","3","6","9","10","3"
"10886","9004373","2015-09-07T00:00:00.000","2015-09-12T00:00:00.000","NULL","1","3","6","9","10","3"
"6407","9004373","2015-07-13T00:00:00.000","2015-07-19T00:00:00.000","NULL","1","3","6","9","6","5"
"10887","9004373","2015-09-07T00:00:00.000","2015-09-08T00:00:00.000","NULL","1","3","6","9","10","3"
"10888","9004373","2015-09-07T00:00:00.000","2015-09-07T00:00:00.000","NULL","1","3","6","9","10","3"
"10889","9004373","2015-09-14T00:00:00.000","2015-09-19T00:00:00.000","NULL","480","3","1","9","10","3"
"10890","9004373","2015-09-14T00:00:00.000","2015-09-19T00:00:00.000","NULL","1","3","6","9","10","3"
"10891","9004373","2015-09-14T00:00:00.000","2015-09-18T00:00:00.000","NULL","1","3","6","9","10","3"
"10892","9004373","2015-09-14T00:00:00.000","2015-09-17T00:00:00.000","NULL","1","3","6","9","10","3"
"10893","9004373","2015-09-21T00:00:00.000","2015-09-24T00:00:00.000","NULL","480","3","1","9","10","3"
"10894","9004373","2015-09-21T00:00:00.000","2015-09-24T00:00:00.000","NULL","480","3","4","9","10","3"
"11105","9005686","2015-09-28T00:00:00.000","2015-09-29T00:00:00.000","NULL","1","3","6","9","10","3"
"11102","9005686","2015-09-28T00:00:00.000","2015-10-02T00:00:00.000","NULL","180","3","1","9","10","3"
"11103","9005686","2015-09-28T00:00:00.000","2015-10-01T00:00:00.000","NULL","480","3","1","9","10","3"
"11108","9003779","2015-08-24T00:00:00.000","2015-08-29T00:00:00.000","NULL","480","3","1","9","10","3"
"11109","9003779","2015-08-24T00:00:00.000","2015-08-24T00:00:00.000","NULL","420","3","1","9","10","3"
"5932","9005042","2015-06-29T00:00:00.000","2015-06-29T00:00:00.000","NULL","480","3","1","9","4","3"
"11110","9003779","2015-08-24T00:00:00.000","2015-08-28T00:00:00.000","NULL","1","3","6","9","10","3"
"11111","9003779","2015-08-24T00:00:00.000","2015-08-27T00:00:00.000","NULL","1","3","6","9","10","3"
"11114","9003779","2015-08-31T00:00:00.000","2015-08-31T00:00:00.000","NULL","1","3","6","9","10","3"
"11112","9003779","2015-08-31T00:00:00.000","2015-09-02T00:00:00.000","NULL","480","3","1","9","10","3"
"11113","9003779","2015-08-31T00:00:00.000","2015-09-01T00:00:00.000","NULL","1","3","6","9","10","3"
"11115","9003779","2015-09-07T00:00:00.000","2015-09-13T00:00:00.000","NULL","480","3","1","9","10","3"
"11116","9003779","2015-09-07T00:00:00.000","2015-09-08T00:00:00.000","NULL","480","3","1","9","10","3"
"11117","9003779","2015-09-07T00:00:00.000","2015-09-13T00:00:00.000","NULL","480","3","4","9","10","3"
"11118","9003779","2015-09-07T00:00:00.000","2015-09-12T00:00:00.000","NULL","1","3","6","9","10","3"
"11186","9003162","2015-09-14T00:00:00.000","2015-09-20T00:00:00.000","NULL","480","3","4","9","10","3"
"10034","9003382","2015-07-27T00:00:00.000","2015-07-30T00:00:00.000","NULL","180","3","1","9","8","3"
"9603","9003506","2015-08-03T00:00:00.000","2015-08-07T00:00:00.000","NULL","480","3","1","9","10","6"
"9614","9003506","2015-08-17T00:00:00.000","2015-08-23T00:00:00.000","NULL","480","3","4","9","10","6"
"9606","9003506","2015-08-03T00:00:00.000","2015-08-09T00:00:00.000","NULL","1","3","6","9","10","6"
"10035","9003382","2015-07-27T00:00:00.000","2015-07-31T00:00:00.000","NULL","180","3","1","9","8","3"
"10036","9003382","2015-07-27T00:00:00.000","2015-07-29T00:00:00.000","NULL","1","3","6","9","8","3"
"12923","9004373","2015-09-28T00:00:00.000","2015-09-29T00:00:00.000","NULL","480","3","1","4","NULL","0"
"23603","9003785","2016-01-18T00:00:00.000","2016-01-22T00:00:00.000","NULL","480","3","1","9","18","2"
"14079","9004229","2015-10-05T00:00:00.000","2015-10-09T00:00:00.000","NULL","1","3","6","9","14","6"
"14033","9005042","2015-10-05T00:00:00.000","2015-10-11T00:00:00.000","NULL","480","3","4","9","14","6"
"12927","9004373","2015-09-28T00:00:00.000","2015-09-28T00:00:00.000","NULL","1","3","6","4","NULL","0"
"23604","9003785","2016-01-18T00:00:00.000","2016-01-21T00:00:00.000","NULL","1","3","6","9","18","2"
"23607","9003785","2016-01-25T00:00:00.000","2016-01-26T00:00:00.000","NULL","1","3","6","9","18","2"
"23608","9003785","2016-01-25T00:00:00.000","2016-01-25T00:00:00.000","NULL","1","3","6","9","18","2"
"10665","9005307","2015-07-06T00:00:00.000","2015-07-11T00:00:00.000","NULL","480","3","1","9","8","3"
"10666","9005307","2015-07-06T00:00:00.000","2015-07-10T00:00:00.000","NULL","480","3","1","9","8","3"
"10667","9005307","2015-07-06T00:00:00.000","2015-07-10T00:00:00.000","NULL","1","3","6","9","8","3"
"22587","9005317","2015-12-28T00:00:00.000","2016-01-03T00:00:00.000","NULL","480","3","1","9","18","2"
"22571","9004373","2016-01-04T00:00:00.000","2016-01-10T00:00:00.000","NULL","1","3","6","9","18","2"
"10668","9005307","2015-07-06T00:00:00.000","2015-07-09T00:00:00.000","NULL","1","3","6","9","8","3"
"10669","9005307","2015-07-06T00:00:00.000","2015-07-08T00:00:00.000","NULL","1","3","6","9","8","3"
"10670","9005307","2015-07-13T00:00:00.000","2015-07-16T00:00:00.000","NULL","480","3","1","9","8","3"
"10671","9005307","2015-07-13T00:00:00.000","2015-07-17T00:00:00.000","NULL","360","3","1","9","8","3"
"10672","9005307","2015-07-13T00:00:00.000","2015-07-14T00:00:00.000","NULL","480","3","4","9","8","3"
"10673","9005307","2015-07-13T00:00:00.000","2015-07-19T00:00:00.000","NULL","300","3","4","9","8","3"
"10674","9005307","2015-07-13T00:00:00.000","2015-07-15T00:00:00.000","NULL","1","3","6","9","8","3"
"10675","9005307","2015-07-13T00:00:00.000","2015-07-14T00:00:00.000","NULL","1","3","6","9","8","3"
"10047","9004980","2015-07-06T00:00:00.000","2015-07-11T00:00:00.000","NULL","480","3","1","9","8","3"
"10048","9004980","2015-07-06T00:00:00.000","2015-07-10T00:00:00.000","NULL","480","3","1","9","8","3"
"10049","9004980","2015-07-06T00:00:00.000","2015-07-10T00:00:00.000","NULL","1","3","6","9","8","3"
"10050","9004980","2015-07-06T00:00:00.000","2015-07-09T00:00:00.000","NULL","1","3","6","9","8","3"
"22572","9004373","2016-01-04T00:00:00.000","2016-01-06T00:00:00.000","NULL","1","3","6","9","18","2"
"22576","9004373","2016-01-11T00:00:00.000","2016-01-17T00:00:00.000","NULL","570","3","4","9","18","2"
"22577","9004373","2016-01-11T00:00:00.000","2016-01-17T00:00:00.000","NULL","1","3","6","9","18","2"
"22578","9004373","2016-01-11T00:00:00.000","2016-01-16T00:00:00.000","NULL","1","3","6","9","18","2"
"6413","9005317","2015-06-29T00:00:00.000","2015-07-04T00:00:00.000","NULL","360","3","1","9","6","3"
"6414","9005317","2015-06-29T00:00:00.000","2015-07-03T00:00:00.000","NULL","360","3","1","9","6","3"
"6415","9005317","2015-06-29T00:00:00.000","2015-07-02T00:00:00.000","NULL","480","3","1","9","6","3"
"6416","9005317","2015-06-29T00:00:00.000","2015-07-01T00:00:00.000","NULL","1","3","6","9","6","3"
"22579","9004373","2016-01-11T00:00:00.000","2016-01-15T00:00:00.000","NULL","1","3","6","9","18","2"
"22580","9004373","2016-01-11T00:00:00.000","2016-01-11T00:00:00.000","NULL","1","3","6","9","18","2"
"22581","9004373","2016-01-18T00:00:00.000","2016-01-22T00:00:00.000","NULL","480","3","1","9","18","2"
"22582","9004373","2016-01-18T00:00:00.000","2016-01-21T00:00:00.000","NULL","1","3","6","9","18","2"
"22583","9004373","2016-01-18T00:00:00.000","2016-01-20T00:00:00.000","NULL","1","3","6","9","18","2"
"17538","9003714","2015-11-02T00:00:00.000","2015-11-04T00:00:00.000","NULL","1","3","6","9","16","6"
"22584","9004373","2016-01-25T00:00:00.000","2016-01-27T00:00:00.000","NULL","480","3","1","9","18","2"
"10895","9004373","2015-09-21T00:00:00.000","2015-09-27T00:00:00.000","NULL","480","3","4","9","10","3"
"10896","9004373","2015-09-21T00:00:00.000","2015-09-23T00:00:00.000","NULL","1","3","6","9","10","3"
"10897","9004373","2015-09-21T00:00:00.000","2015-09-22T00:00:00.000","NULL","1","3","6","9","10","3"
"10898","9004373","2015-09-21T00:00:00.000","2015-09-27T00:00:00.000","NULL","1","3","6","9","10","3"
"10899","9004373","2015-09-28T00:00:00.000","2015-09-29T00:00:00.000","NULL","480","3","1","9","10","3"
"10900","9004373","2015-09-28T00:00:00.000","2015-09-28T00:00:00.000","NULL","1","3","6","9","10","3"
"10901","9005317","2015-09-07T00:00:00.000","2015-09-10T00:00:00.000","NULL","480","3","1","9","10","3"
"10902","9005317","2015-09-07T00:00:00.000","2015-09-13T00:00:00.000","NULL","480","3","4","9","10","3"
"10903","9005317","2015-09-07T00:00:00.000","2015-09-13T00:00:00.000","NULL","1","3","6","9","10","3"
"10904","9005317","2015-09-07T00:00:00.000","2015-09-09T00:00:00.000","NULL","1","3","6","9","10","3"
"10905","9005317","2015-09-07T00:00:00.000","2015-09-08T00:00:00.000","NULL","1","3","6","9","10","3"
"10906","9005317","2015-09-14T00:00:00.000","2015-09-20T00:00:00.000","NULL","480","3","1","9","10","3"
"10907","9005317","2015-09-14T00:00:00.000","2015-09-15T00:00:00.000","NULL","480","3","1","9","10","3"
"10908","9005317","2015-09-14T00:00:00.000","2015-09-20T00:00:00.000","NULL","570","3","4","9","10","3"
