"id_rc_histo","id_agent","date_lundi","m_sup","m_base_horaire","version"
"1","9004365","2015-06-01T00:00:00.000","240","2340","0"
"2","9004365","2015-06-08T00:00:00.000","180","2340","0"
"3","9004365","2015-06-15T00:00:00.000","60","2340","0"
"4","9005170","2015-06-01T00:00:00.000","60","2340","0"
"5","9005170","2015-06-08T00:00:00.000","420","2340","0"
"6","9005170","2015-06-15T00:00:00.000","120","2340","0"
"7","9004476","2015-06-08T00:00:00.000","240","2340","0"
"8","9004476","2015-06-15T00:00:00.000","270","2340","0"
"9","9005253","2015-06-08T00:00:00.000","240","2340","0"
"10","9005253","2015-06-15T00:00:00.000","2130","2340","0"
"11","9004187","2015-06-15T00:00:00.000","2130","2340","0"
"12","9004202","2015-06-15T00:00:00.000","2130","2340","0"
"13","9005013","2015-06-15T00:00:00.000","270","2340","0"
"14","9002229","2015-06-01T00:00:00.000","300","2340","0"
"15","9002229","2015-06-08T00:00:00.000","90","2340","0"
"16","9002229","2015-06-15T00:00:00.000","1650","2340","0"
"17","9002229","2015-06-22T00:00:00.000","240","2340","0"
"18","9003386","2015-06-01T00:00:00.000","420","2340","0"
"19","9003386","2015-06-15T00:00:00.000","2310","2340","0"
"20","9003386","2015-06-22T00:00:00.000","450","2340","0"
"21","9004241","2015-06-01T00:00:00.000","1260","2340","0"
"22","9004241","2015-06-15T00:00:00.000","1890","2340","0"
"23","9004241","2015-06-22T00:00:00.000","495","2340","0"
"24","9002416","2015-06-15T00:00:00.000","60","2340","0"
"25","9002416","2015-06-22T00:00:00.000","60","2340","0"
"26","9004318","2015-06-15T00:00:00.000","1950","2340","0"
"27","9004318","2015-06-22T00:00:00.000","360","2340","0"
"28","9004447","2015-06-15T00:00:00.000","2130","2340","0"
"29","9002418","2015-06-22T00:00:00.000","180","2340","0"
"30","9003262","2015-06-22T00:00:00.000","270","2340","0"
"31","9003712","2015-06-01T00:00:00.000","570","2340","0"
"32","9003712","2015-06-22T00:00:00.000","90","2340","0"
"33","9003953","2015-06-01T00:00:00.000","1080","2340","0"
"34","9003953","2015-06-08T00:00:00.000","180","2340","0"
"35","9003953","2015-06-15T00:00:00.000","1980","2340","0"
"37","9004744","2015-06-01T00:00:00.000","360","2340","0"
"38","9004744","2015-06-08T00:00:00.000","240","2340","0"
"39","9004744","2015-06-15T00:00:00.000","1260","2340","0"
"41","9005475","2015-06-15T00:00:00.000","360","2340","0"
"42","9005475","2015-06-29T00:00:00.000","720","2340","0"
"43","9003236","2015-06-22T00:00:00.000","90","2340","0"
"44","9004464","2015-06-22T00:00:00.000","240","2340","0"
"45","9005170","2015-06-22T00:00:00.000","120","2340","0"
"46","9005170","2015-06-29T00:00:00.000","300","2340","0"
"47","9005170","2015-07-06T00:00:00.000","90","2340","0"
"48","9005170","2015-07-20T00:00:00.000","150","2340","0"
"49","9005170","2015-07-27T00:00:00.000","30","2340","0"
"50","9005180","2015-06-22T00:00:00.000","120","2340","0"
"51","9005180","2015-06-29T00:00:00.000","210","2340","0"
"52","9005321","2015-06-22T00:00:00.000","75","2340","0"
"53","9005379","2015-06-22T00:00:00.000","60","2340","0"
"54","9005491","2015-06-22T00:00:00.000","60","2340","0"
"55","9005491","2015-07-06T00:00:00.000","510","2340","0"
"56","9003681","2015-06-29T00:00:00.000","210","2340","0"
"57","9004365","2015-06-29T00:00:00.000","240","2340","0"
"58","9004365","2015-07-06T00:00:00.000","90","2340","0"
"59","9004365","2015-07-13T00:00:00.000","150","2340","0"
"60","9004365","2015-07-20T00:00:00.000","90","2340","0"
"61","9004365","2015-07-27T00:00:00.000","30","2340","0"
"62","9004421","2015-06-29T00:00:00.000","360","2340","0"
"63","9004421","2015-07-13T00:00:00.000","60","2340","0"
"64","9004421","2015-07-20T00:00:00.000","210","2340","0"
"65","9004421","2015-07-27T00:00:00.000","90","2340","0"
"66","9004645","2015-06-29T00:00:00.000","60","2340","0"
"67","9004645","2015-07-13T00:00:00.000","1200","2340","0"
"68","9005490","2015-06-29T00:00:00.000","510","2340","0"
"69","9004187","2015-07-06T00:00:00.000","510","2340","0"
"70","9004187","2015-07-13T00:00:00.000","1500","2340","0"
"71","9004202","2015-07-06T00:00:00.000","510","2340","0"
"72","9004202","2015-07-13T00:00:00.000","1500","2340","0"
"73","9004476","2015-07-06T00:00:00.000","510","2340","0"
"74","9004476","2015-07-13T00:00:00.000","1500","2340","0"
"75","9004491","2015-07-06T00:00:00.000","360","2340","0"
"76","9004491","2015-07-13T00:00:00.000","1200","2340","0"
"77","9005253","2015-07-06T00:00:00.000","510","2340","0"
"78","9005253","2015-07-13T00:00:00.000","1500","2340","0"
"79","9003869","2015-07-13T00:00:00.000","1200","2340","0"
"80","9004058","2015-07-13T00:00:00.000","660","2340","0"
"81","9004079","2015-07-13T00:00:00.000","150","2340","0"
"82","9004488","2015-07-13T00:00:00.000","660","2340","0"
"83","9004542","2015-07-13T00:00:00.000","150","2340","0"
"84","9004661","2015-07-13T00:00:00.000","420","2340","0"
"85","9004787","2015-07-13T00:00:00.000","540","2340","0"
"86","9005420","2015-07-13T00:00:00.000","1500","2340","0"
"87","9005619","2015-07-13T00:00:00.000","60","2340","0"
"88","9005013","2015-07-20T00:00:00.000","240","2340","0"
"89","9004634","2015-06-01T00:00:00.000","90","2340","0"
"90","9004634","2015-06-15T00:00:00.000","270","2340","0"
"91","9003386","2015-06-29T00:00:00.000","360","2340","0"
"92","9003386","2015-07-06T00:00:00.000","480","2340","0"
"93","9003386","2015-07-13T00:00:00.000","180","2340","0"
"94","9004131","2015-06-29T00:00:00.000","60","2340","0"
"95","9004131","2015-07-13T00:00:00.000","1200","2340","0"
"96","9004131","2015-07-27T00:00:00.000","300","2340","0"
"97","9002229","2015-07-06T00:00:00.000","240","2340","0"
"98","9002229","2015-07-13T00:00:00.000","1020","2340","0"
"99","9002229","2015-07-20T00:00:00.000","60","2340","0"
"100","9002949","2015-07-06T00:00:00.000","510","2340","0"
"101","9002949","2015-07-13T00:00:00.000","420","2340","0"
"102","9002949","2015-07-20T00:00:00.000","240","2340","0"
"103","9003200","2015-07-06T00:00:00.000","180","2340","0"
"104","9003200","2015-07-13T00:00:00.000","1200","2340","0"
"105","9003200","2015-07-20T00:00:00.000","120","2340","0"
"106","9003200","2015-07-27T00:00:00.000","300","2340","0"
"107","9004318","2015-07-06T00:00:00.000","480","2340","0"
"108","9004318","2015-07-13T00:00:00.000","630","2340","0"
"109","9004447","2015-07-06T00:00:00.000","510","2340","0"
"110","9004447","2015-07-13T00:00:00.000","420","2340","0"
"111","9004786","2015-07-06T00:00:00.000","540","2340","0"
"112","9002246","2015-07-13T00:00:00.000","660","2340","0"
"113","9002416","2015-07-13T00:00:00.000","660","2340","0"
"114","9002418","2015-07-13T00:00:00.000","720","2340","0"
"115","9002418","2015-07-20T00:00:00.000","480","2340","0"
"116","9002528","2015-07-13T00:00:00.000","660","2340","0"
"117","9003339","2015-07-13T00:00:00.000","1200","2340","0"
"118","9003417","2015-07-13T00:00:00.000","525","2340","0"
"119","9003417","2015-07-20T00:00:00.000","525","2340","0"
"120","9003573","2015-07-13T00:00:00.000","525","2340","0"
"121","9004144","2015-07-13T00:00:00.000","960","2340","0"
"122","9004144","2015-07-27T00:00:00.000","180","2340","0"
"123","9004474","2015-07-13T00:00:00.000","1200","2340","0"
"124","9004474","2015-07-27T00:00:00.000","300","2340","0"
"125","9004684","2015-07-13T00:00:00.000","420","2340","0"
"126","9003088","2015-07-20T00:00:00.000","300","2340","0"
"127","9002607","2015-07-27T00:00:00.000","165","2340","0"
"128","9002607","2015-08-03T00:00:00.000","195","2340","0"
"129","9004241","2015-07-27T00:00:00.000","540","2340","0"
"130","9004582","2015-06-01T00:00:00.000","810","2340","0"
"36","9003953","2015-06-29T00:00:00.000","420","2340","1"
"131","9003953","2015-07-06T00:00:00.000","240","2340","0"
"40","9004744","2015-06-29T00:00:00.000","420","2340","1"
"132","9004744","2015-07-06T00:00:00.000","480","2340","0"
"133","9003712","2015-07-06T00:00:00.000","150","2340","0"
"134","9003712","2015-07-13T00:00:00.000","240","2340","0"
"180","9004241","2015-07-20T00:00:00.000","240","2340","0"
"185","9004472","2015-08-10T00:00:00.000","75","2340","0"
"135","9003712","2015-07-20T00:00:00.000","210","2340","0"
"136","9005180","2015-07-06T00:00:00.000","60","2340","0"
"137","9005180","2015-07-13T00:00:00.000","120","2340","0"
"138","9005180","2015-07-20T00:00:00.000","90","2340","0"
"139","9005180","2015-07-27T00:00:00.000","150","2340","0"
"140","9005716","2015-07-06T00:00:00.000","240","2340","0"
"141","9005716","2015-07-13T00:00:00.000","540","2340","0"
"142","9005716","2015-07-27T00:00:00.000","240","2340","0"
"143","9005716","2015-08-17T00:00:00.000","780","2340","0"
"144","9003410","2015-07-20T00:00:00.000","180","2340","0"
"145","9004645","2015-07-20T00:00:00.000","120","2340","0"
"146","9004645","2015-07-27T00:00:00.000","300","2340","0"
"147","9004645","2015-08-17T00:00:00.000","900","2340","0"
"148","9004491","2015-07-27T00:00:00.000","300","2340","0"
"149","9004491","2015-08-17T00:00:00.000","900","2340","0"
"150","9005321","2015-07-27T00:00:00.000","60","2340","0"
"151","9005624","2015-07-27T00:00:00.000","330","2340","0"
"152","9003305","2015-08-03T00:00:00.000","90","2340","0"
"153","9004365","2015-08-03T00:00:00.000","180","2340","0"
"154","9004365","2015-08-17T00:00:00.000","30","2340","0"
"155","9004522","2015-08-03T00:00:00.000","105","2340","0"
"156","9004842","2015-08-03T00:00:00.000","90","2340","0"
"157","9004878","2015-08-03T00:00:00.000","180","2340","0"
"158","9004878","2015-08-10T00:00:00.000","270","2340","0"
"159","9004878","2015-08-17T00:00:00.000","180","2340","0"
"160","9003578","2015-08-10T00:00:00.000","75","2340","0"
"161","9003861","2015-08-10T00:00:00.000","180","2340","0"
"162","9004540","2015-08-10T00:00:00.000","75","2340","0"
"163","9004548","2015-08-10T00:00:00.000","180","2340","0"
"164","9004728","2015-08-10T00:00:00.000","180","2340","0"
"165","9005170","2015-08-10T00:00:00.000","90","2340","0"
"166","9005170","2015-08-17T00:00:00.000","180","2340","0"
"167","9005475","2015-08-10T00:00:00.000","390","2340","0"
"168","9005475","2015-08-17T00:00:00.000","210","2340","0"
"169","9003869","2015-08-17T00:00:00.000","900","2340","0"
"170","9004134","2015-08-17T00:00:00.000","840","2340","0"
"171","9004142","2015-08-17T00:00:00.000","60","2340","0"
"172","9004142","2015-08-24T00:00:00.000","180","2340","0"
"173","9004178","2015-08-17T00:00:00.000","840","2340","0"
"174","9004320","2015-08-17T00:00:00.000","60","2340","0"
"175","9004320","2015-08-24T00:00:00.000","180","2340","0"
"176","9004518","2015-08-17T00:00:00.000","600","2340","0"
"177","9004962","2015-08-17T00:00:00.000","300","2340","0"
"178","9004630","2015-08-24T00:00:00.000","180","2340","0"
"179","9005195","2015-08-24T00:00:00.000","180","2340","0"
"181","9002229","2015-07-27T00:00:00.000","120","2340","0"
"182","9002229","2015-08-03T00:00:00.000","300","2340","0"
"183","9002229","2015-08-24T00:00:00.000","210","2340","0"
"184","9002229","2015-08-31T00:00:00.000","450","2340","0"
"186","9003088","2015-08-17T00:00:00.000","180","2340","0"
"187","9003200","2015-08-17T00:00:00.000","900","2340","0"
"188","9003339","2015-08-17T00:00:00.000","900","2340","0"
"189","9004131","2015-08-17T00:00:00.000","900","2340","0"
"190","9004474","2015-08-17T00:00:00.000","600","2340","0"
"191","9002418","2015-08-24T00:00:00.000","210","2340","0"
"192","9002418","2015-08-31T00:00:00.000","90","2340","0"
"193","9002607","2015-08-24T00:00:00.000","120","2340","0"
