"id_ventil_absence","id_ventil_date","id_agent","date_lundi","etat","minutes_concertee","minutes_non_concertee","version","minutes_immediat","nombre_absence_inferieur_1","nombre_absence_entre_1_et_4","nombre_absence_superieur_4"
"25","4","9004750","2015-06-15T00:00:00.000","7","0","480","1","0","0","0","1"
"26","4","9004622","2015-06-01T00:00:00.000","7","240","0","1","0","0","1","0"
"27","4","9004483","2015-06-01T00:00:00.000","7","675","0","1","0","0","1","1"
"28","4","9004623","2015-06-15T00:00:00.000","7","180","0","1","0","0","1","0"
"30","4","9004004","2015-06-15T00:00:00.000","7","0","2340","1","0","0","0","5"
"31","4","9004564","2015-06-01T00:00:00.000","7","240","0","1","0","0","1","0"
"33","4","9004811","2015-06-22T00:00:00.000","7","480","0","1","0","0","0","1"
"29","4","9003942","2015-06-22T00:00:00.000","7","480","0","1","0","0","0","1"
"32","4","9005384","2015-06-15T00:00:00.000","7","0","480","1","0","0","0","1"
"115","5","9003315","2015-06-01T00:00:00.000","7","0","2100","1","0","0","1","4"
"116","5","9003315","2015-06-08T00:00:00.000","7","0","2100","1","0","0","1","4"
"117","5","9003315","2015-06-15T00:00:00.000","7","0","2100","1","0","0","1","4"
"118","5","9003315","2015-06-22T00:00:00.000","7","0","480","1","0","0","0","1"
"121","5","9004116","2015-06-01T00:00:00.000","7","0","480","1","0","0","0","1"
"125","5","9003745","2015-06-22T00:00:00.000","7","480","0","1","0","0","0","1"
"119","5","9003998","2015-06-29T00:00:00.000","7","0","480","1","0","0","0","1"
"123","5","9002396","2015-06-01T00:00:00.000","7","420","0","1","0","0","0","1"
"128","5","9002926","2015-06-22T00:00:00.000","7","480","0","1","0","0","0","1"
"120","5","9004269","2015-06-15T00:00:00.000","7","0","480","1","0","0","0","1"
"126","5","9004040","2015-06-08T00:00:00.000","7","480","0","1","0","0","0","1"
"129","5","9004762","2015-06-15T00:00:00.000","7","1440","0","1","0","0","0","3"
"122","5","9004249","2015-06-29T00:00:00.000","7","0","480","1","0","0","0","1"
"124","5","9003004","2015-06-29T00:00:00.000","7","960","0","1","0","0","0","2"
"127","5","9004381","2015-06-08T00:00:00.000","7","480","0","1","0","0","0","1"
"130","6","9004750","2015-06-29T00:00:00.000","7","0","480","1","0","0","0","1"
"131","6","9004750","2015-07-13T00:00:00.000","7","0","480","1","0","0","0","1"
"132","6","9005379","2015-06-29T00:00:00.000","7","0","105","1","0","2","0","0"
"133","6","9004426","2015-07-27T00:00:00.000","7","240","0","1","0","0","1","0"
"134","6","9004811","2015-07-27T00:00:00.000","7","240","0","1","0","0","1","0"
"135","6","9004142","2015-06-29T00:00:00.000","7","0","480","1","0","0","0","1"
"136","6","9004754","2015-06-29T00:00:00.000","7","480","0","1","0","0","0","1"
"137","6","9004349","2015-07-20T00:00:00.000","7","0","480","1","0","0","0","1"
"138","6","9004349","2015-07-27T00:00:00.000","7","0","480","1","0","0","0","1"
"139","6","9004105","2015-07-13T00:00:00.000","7","420","0","1","0","0","0","1"
"140","6","9004105","2015-07-20T00:00:00.000","7","0","960","1","0","0","0","2"
"141","6","9004105","2015-07-27T00:00:00.000","7","0","480","1","0","0","0","1"
"142","6","9003942","2015-07-20T00:00:00.000","7","0","480","1","0","0","0","1"
"143","6","9004303","2015-07-27T00:00:00.000","7","0","480","1","0","0","0","1"
"144","7","9004384","2015-07-06T00:00:00.000","7","0","480","1","0","0","0","1"
"147","7","9003315","2015-07-06T00:00:00.000","7","0","2820","1","0","0","0","6"
"148","7","9003315","2015-07-13T00:00:00.000","7","0","2340","1","0","0","0","5"
"149","7","9003315","2015-07-20T00:00:00.000","7","0","3300","1","0","0","0","7"
"150","7","9003315","2015-07-27T00:00:00.000","7","0","2340","1","0","0","0","5"
"152","7","9004633","2015-07-06T00:00:00.000","7","960","0","1","0","0","0","2"
"153","7","9003551","2015-06-29T00:00:00.000","7","480","0","1","0","0","0","1"
"154","7","9004116","2015-06-29T00:00:00.000","7","480","0","1","0","0","0","1"
"158","7","9005096","2015-06-22T00:00:00.000","7","0","480","1","0","0","0","1"
"145","7","9004159","2015-06-29T00:00:00.000","7","0","420","1","0","0","0","1"
"146","7","9004552","2015-06-01T00:00:00.000","7","0","480","1","0","0","0","1"
"151","7","9004395","2015-06-29T00:00:00.000","7","480","0","1","0","0","0","1"
"155","7","9004853","2015-07-13T00:00:00.000","7","0","420","1","0","0","0","1"
"156","7","9004040","2015-07-27T00:00:00.000","7","480","0","1","0","0","0","1"
"157","7","9004402","2015-07-06T00:00:00.000","7","0","480","1","0","0","0","1"
"159","7","9004762","2015-07-06T00:00:00.000","7","480","0","1","0","0","0","1"
"160","7","9003263","2015-06-15T00:00:00.000","7","420","0","1","0","0","0","1"
"161","7","9004249","2015-07-27T00:00:00.000","7","0","480","1","0","0","0","1"
"162","7","9003004","2015-07-27T00:00:00.000","7","480","0","1","0","0","0","1"
"163","7","9004615","2015-07-13T00:00:00.000","7","1380","0","1","0","0","0","3"
"164","8","9004750","2015-08-10T00:00:00.000","7","0","480","1","0","0","0","1"
"165","8","9004750","2015-08-24T00:00:00.000","7","0","480","1","0","0","0","1"
"166","8","9003222","2015-08-10T00:00:00.000","7","1140","0","1","0","0","1","2"
"167","8","9003501","2015-06-01T00:00:00.000","7","480","0","1","0","0","0","1"
"168","8","9002948","2015-08-03T00:00:00.000","7","480","0","1","0","0","0","1"
