"id_pointage","id_agent","id_type_pointage","date_lundi","date_debut","date_fin","quantite","id_pointage_parent","id_ref_prime","is_hsup_recuperee","id_comment_motif","id_comment_commentaire","version","id_ref_type_absence","is_hsup_rappel_service","id_motif_hsup"
"13","9002245","2","2015-02-16T00:00:00.000","2015-02-20T15:30:00.000","2015-02-20T19:30:00.000","NULL","NULL","NULL","false","NULL","7","1","NULL","false","20"
"12","9002245","2","2015-02-16T00:00:00.000","2015-02-19T15:30:00.000","2015-02-19T19:30:00.000","NULL","NULL","NULL","false","NULL","6","1","NULL","false","20"
"11","9002245","2","2015-02-16T00:00:00.000","2015-02-17T15:30:00.000","2015-02-17T21:30:00.000","NULL","NULL","NULL","false","NULL","5","1","NULL","false","20"
"10","9002245","2","2015-02-16T00:00:00.000","2015-02-16T15:30:00.000","2015-02-16T20:00:00.000","NULL","NULL","NULL","false","NULL","4","1","NULL","false","20"
"6","9003339","2","2015-02-23T00:00:00.000","2015-02-26T20:00:00.000","2015-02-26T23:00:00.000","NULL","NULL","NULL","true","NULL","NULL","1","NULL","false","2"
"1","9003881","2","2015-02-23T00:00:00.000","2015-02-26T19:00:00.000","2015-02-26T21:00:00.000","NULL","NULL","NULL","false","NULL","NULL","1","NULL","false","20"
"21","9003347","1","2015-03-09T00:00:00.000","2015-03-13T07:15:00.000","2015-03-13T15:30:00.000","NULL","NULL","NULL","NULL","15","NULL","1","1","NULL","NULL"
"20","9003347","1","2015-03-09T00:00:00.000","2015-03-12T07:15:00.000","2015-03-12T15:30:00.000","NULL","NULL","NULL","NULL","14","NULL","1","1","NULL","NULL"
"17","9004353","2","2015-02-16T00:00:00.000","2015-02-20T15:30:00.000","2015-02-20T19:30:00.000","NULL","NULL","NULL","false","NULL","11","1","NULL","false","20"
"16","9004353","2","2015-02-16T00:00:00.000","2015-02-19T15:30:00.000","2015-02-19T19:30:00.000","NULL","NULL","NULL","false","NULL","10","1","NULL","false","20"
"15","9004353","2","2015-02-16T00:00:00.000","2015-02-17T15:30:00.000","2015-02-17T21:30:00.000","NULL","NULL","NULL","false","NULL","9","1","NULL","false","20"
"14","9004353","2","2015-02-16T00:00:00.000","2015-02-16T15:30:00.000","2015-02-16T20:30:00.000","NULL","NULL","NULL","false","NULL","8","1","NULL","false","20"
"9","9005226","1","2015-02-09T00:00:00.000","2015-02-14T07:30:00.000","2015-02-14T15:30:00.000","NULL","NULL","NULL","NULL","3","NULL","1","1","NULL","NULL"
"8","9005226","1","2015-02-09T00:00:00.000","2015-02-13T07:30:00.000","2015-02-13T15:30:00.000","NULL","NULL","NULL","NULL","2","NULL","1","1","NULL","NULL"
"7","9005226","1","2015-02-09T00:00:00.000","2015-02-12T07:30:00.000","2015-02-12T15:30:00.000","NULL","NULL","NULL","NULL","1","NULL","1","1","NULL","NULL"
"40","9004378","2","2015-02-23T00:00:00.000","2015-02-26T14:45:00.000","2015-02-27T01:00:00.000","NULL","NULL","NULL","true","NULL","28","1","NULL","false","20"
"67","9003386","2","2015-03-02T00:00:00.000","2015-03-07T08:30:00.000","2015-03-07T12:30:00.000","NULL","NULL","NULL","false","NULL","NULL","0","NULL","false","2"
"68","9003386","2","2015-03-02T00:00:00.000","2015-03-07T13:30:00.000","2015-03-07T17:30:00.000","NULL","NULL","NULL","false","NULL","NULL","0","NULL","false","2"
"69","9003386","2","2015-03-02T00:00:00.000","2015-03-08T08:00:00.000","2015-03-08T12:00:00.000","NULL","NULL","NULL","false","NULL","NULL","0","NULL","false","2"
"70","9003386","2","2015-03-02T00:00:00.000","2015-03-08T13:30:00.000","2015-03-08T21:00:00.000","NULL","NULL","NULL","false","NULL","NULL","0","NULL","false","2"
"71","9004241","2","2015-03-02T00:00:00.000","2015-03-08T08:30:00.000","2015-03-08T12:00:00.000","NULL","NULL","NULL","false","NULL","NULL","0","NULL","false","2"
"72","9004241","2","2015-03-02T00:00:00.000","2015-03-08T15:30:00.000","2015-03-08T21:00:00.000","NULL","NULL","NULL","false","NULL","NULL","0","NULL","false","2"
"73","9004318","2","2015-03-02T00:00:00.000","2015-03-08T08:30:00.000","2015-03-08T12:30:00.000","NULL","NULL","NULL","false","NULL","NULL","0","NULL","false","2"
"74","9004318","2","2015-03-02T00:00:00.000","2015-03-08T13:30:00.000","2015-03-08T17:30:00.000","NULL","NULL","NULL","false","NULL","NULL","0","NULL","false","2"
"75","9003417","2","2015-03-02T00:00:00.000","2015-03-05T17:00:00.000","2015-03-05T20:00:00.000","NULL","NULL","NULL","true","NULL","NULL","0","NULL","false","2"
"48","9004241","2","2015-02-02T00:00:00.000","2015-02-04T16:00:00.000","2015-02-04T18:00:00.000","NULL","NULL","NULL","false","NULL","32","1","NULL","false","2"
"50","9004241","2","2015-02-16T00:00:00.000","2015-02-19T16:00:00.000","2015-02-19T19:30:00.000","NULL","NULL","NULL","false","NULL","34","1","NULL","false","2"
"58","9004241","2","2015-02-23T00:00:00.000","2015-03-01T09:00:00.000","2015-03-01T12:00:00.000","NULL","NULL","NULL","false","NULL","36","1","NULL","false","2"
"57","9004241","2","2015-02-23T00:00:00.000","2015-03-01T15:00:00.000","2015-03-01T18:00:00.000","NULL","NULL","NULL","false","NULL","35","1","NULL","false","2"
"66","9003262","1","2015-02-23T00:00:00.000","2015-02-26T10:15:00.000","2015-02-26T13:15:00.000","NULL","NULL","NULL","NULL","38","NULL","1","2","NULL","NULL"
"65","9003262","1","2015-02-23T00:00:00.000","2015-02-26T07:15:00.000","2015-02-26T10:00:00.000","NULL","NULL","NULL","NULL","37","NULL","1","2","NULL","NULL"
"56","9003284","2","2015-02-16T00:00:00.000","2015-02-20T06:30:00.000","2015-02-20T07:00:00.000","NULL","NULL","NULL","true","NULL","NULL","1","NULL","false","20"
"55","9003284","2","2015-02-16T00:00:00.000","2015-02-19T06:30:00.000","2015-02-19T07:00:00.000","NULL","NULL","NULL","true","NULL","NULL","1","NULL","false","20"
"54","9003284","2","2015-02-16T00:00:00.000","2015-02-18T06:30:00.000","2015-02-18T07:00:00.000","NULL","NULL","NULL","true","NULL","NULL","1","NULL","false","20"
"53","9003284","2","2015-02-16T00:00:00.000","2015-02-18T16:00:00.000","2015-02-18T16:30:00.000","NULL","NULL","NULL","true","NULL","NULL","1","NULL","false","20"
"52","9003284","2","2015-02-16T00:00:00.000","2015-02-17T06:30:00.000","2015-02-17T07:00:00.000","NULL","NULL","NULL","true","NULL","NULL","1","NULL","false","20"
"51","9003284","2","2015-02-16T00:00:00.000","2015-02-16T06:30:00.000","2015-02-16T07:00:00.000","NULL","NULL","NULL","true","NULL","NULL","1","NULL","false","20"
"64","9003284","2","2015-02-23T00:00:00.000","2015-02-27T06:30:00.000","2015-02-27T07:00:00.000","NULL","NULL","NULL","true","NULL","NULL","1","NULL","false","20"
"63","9003284","2","2015-02-23T00:00:00.000","2015-02-27T16:00:00.000","2015-02-27T16:30:00.000","NULL","NULL","NULL","true","NULL","NULL","1","NULL","false","20"
"62","9003284","2","2015-02-23T00:00:00.000","2015-02-26T06:30:00.000","2015-02-26T07:00:00.000","NULL","NULL","NULL","true","NULL","NULL","1","NULL","false","20"
"61","9003284","2","2015-02-23T00:00:00.000","2015-02-26T16:00:00.000","2015-02-26T16:30:00.000","NULL","NULL","NULL","true","NULL","NULL","1","NULL","false","20"
"60","9003284","2","2015-02-23T00:00:00.000","2015-02-24T06:30:00.000","2015-02-24T07:00:00.000","NULL","NULL","NULL","true","NULL","NULL","1","NULL","false","20"
"59","9003284","2","2015-02-23T00:00:00.000","2015-02-24T16:00:00.000","2015-02-24T16:30:00.000","NULL","NULL","NULL","true","NULL","NULL","1","NULL","false","20"
"49","9003386","2","2015-02-16T00:00:00.000","2015-02-19T16:00:00.000","2015-02-19T19:30:00.000","NULL","NULL","NULL","false","NULL","33","1","NULL","false","2"
"26","9004377","2","2015-02-23T00:00:00.000","2015-02-27T01:00:00.000","2015-02-27T02:00:00.000","NULL","NULL","NULL","true","NULL","20","1","NULL","false","20"
"23","9004377","2","2015-02-23T00:00:00.000","2015-02-26T01:00:00.000","2015-02-26T02:00:00.000","NULL","NULL","NULL","true","NULL","17","2","NULL","false","20"
"47","9004377","3","2015-02-23T00:00:00.000","2015-02-27T15:00:00.000","2015-02-28T02:00:00.000","NULL","NULL","9","NULL","NULL","31","1","NULL","NULL","NULL"
"46","9004377","3","2015-02-23T00:00:00.000","2015-02-26T16:00:00.000","2015-02-27T02:00:00.000","NULL","NULL","9","NULL","NULL","30","1","NULL","NULL","NULL"
"25","9003792","2","2015-02-23T00:00:00.000","2015-02-26T01:00:00.000","2015-02-26T02:00:00.000","NULL","NULL","NULL","true","NULL","19","1","NULL","false","20"
"37","9003792","3","2015-02-23T00:00:00.000","2015-02-27T15:00:00.000","2015-02-28T01:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"36","9003792","3","2015-02-23T00:00:00.000","2015-02-26T16:00:00.000","2015-02-27T02:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"42","9004553","2","2015-02-23T00:00:00.000","2015-02-27T14:45:00.000","2015-02-27T15:00:00.000","NULL","NULL","NULL","true","NULL","29","1","NULL","false","20"
"33","9004553","2","2015-02-23T00:00:00.000","2015-02-26T15:45:00.000","2015-02-26T16:00:00.000","NULL","NULL","NULL","true","NULL","27","1","NULL","false","20"
"32","9004553","2","2015-02-23T00:00:00.000","2015-02-26T01:00:00.000","2015-02-26T02:00:00.000","NULL","NULL","NULL","true","NULL","26","1","NULL","false","20"
"45","9004553","3","2015-02-23T00:00:00.000","2015-02-27T14:45:00.000","2015-02-28T01:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"44","9004553","3","2015-02-23T00:00:00.000","2015-02-26T15:45:00.000","2015-02-27T02:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"41","9004378","3","2015-02-23T00:00:00.000","2015-02-26T14:45:00.000","2015-02-27T01:00:00.000","NULL","NULL","9","NULL","NULL","NULL","1","NULL","NULL","NULL"
"29","9004936","2","2015-02-23T00:00:00.000","2015-02-27T01:00:00.000","2015-02-27T02:00:00.000","NULL","NULL","NULL","true","NULL","23","1","NULL","false","20"
"28","9004936","2","2015-02-23T00:00:00.000","2015-02-26T15:45:00.000","2015-02-26T16:00:00.000","NULL","NULL","NULL","true","NULL","22","1","NULL","false","20"
