"id_pointage_calcule","id_agent","date_lundi","date_debut","date_fin","quantite","id_ref_type_pointage","id_ref_prime","etat","id_ventil_date","version"
"1","9004377","2015-02-23T00:00:00.000","2015-02-27T00:00:00.000","NULL","300","3","1","9","4","3"
"2","9004377","2015-02-23T00:00:00.000","2015-02-26T00:00:00.000","NULL","300","3","1","9","4","3"
"15","9004936","2015-02-23T00:00:00.000","2015-02-27T00:00:00.000","NULL","300","3","1","9","4","3"
"16","9004936","2015-02-23T00:00:00.000","2015-02-26T00:00:00.000","NULL","300","3","1","9","4","3"
"5","9003792","2015-02-23T00:00:00.000","2015-02-27T00:00:00.000","NULL","240","3","1","9","4","3"
"6","9003792","2015-02-23T00:00:00.000","2015-02-26T00:00:00.000","NULL","300","3","1","9","4","3"
"13","9004378","2015-02-23T00:00:00.000","2015-02-26T00:00:00.000","NULL","240","3","1","9","4","3"
"9","9004553","2015-02-23T00:00:00.000","2015-02-27T00:00:00.000","NULL","240","3","1","9","4","3"
"10","9004553","2015-02-23T00:00:00.000","2015-02-26T00:00:00.000","NULL","300","3","1","9","4","3"
"11","9004553","2015-02-23T00:00:00.000","2015-02-27T00:00:00.000","NULL","1","3","6","9","4","3"
"7","9003792","2015-02-23T00:00:00.000","2015-02-27T00:00:00.000","NULL","1","3","6","9","4","3"
"3","9004377","2015-02-23T00:00:00.000","2015-02-27T00:00:00.000","NULL","1","3","6","9","4","3"
"4","9004377","2015-02-23T00:00:00.000","2015-02-26T00:00:00.000","NULL","1","3","6","9","4","3"
"8","9003792","2015-02-23T00:00:00.000","2015-02-26T00:00:00.000","NULL","1","3","6","9","4","3"
"12","9004553","2015-02-23T00:00:00.000","2015-02-26T00:00:00.000","NULL","1","3","6","9","4","3"
"17","9004936","2015-02-23T00:00:00.000","2015-02-27T00:00:00.000","NULL","1","3","6","9","4","3"
"18","9004936","2015-02-23T00:00:00.000","2015-02-26T00:00:00.000","NULL","1","3","6","9","4","3"
"14","9004378","2015-02-23T00:00:00.000","2015-02-26T00:00:00.000","NULL","1","3","6","9","4","3"
