"id_ventil_hsup","id_ventil_date","id_agent","date_lundi","m_abs","m_hors_contrat","m_sup","m_sup_25","m_sup_50","m_djf","m_1_mai","m_nuit","m_normales","m_simples","m_composees","m_recuperees","m_sup_25_r","m_sup_50_r","m_djf_r","m_1_mai_r","m_nuit_r","m_normales_r","m_simples_r","m_composees_r","etat","version","m_abs_as400","m_rappel_service"
"5","4","9004353","2015-02-16T00:00:00.000","0","1140","1140","480","660","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","0"
"6","4","9004353","2015-02-16T00:00:00.000","0","1140","1140","480","660","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","0"
"12","5","9002245","2015-02-16T00:00:00.000","0","1110","1110","480","630","0","0","90","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","0"
"7","5","9004241","2015-02-02T00:00:00.000","0","120","120","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","0"
"8","5","9004241","2015-02-16T00:00:00.000","0","210","210","210","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","0"
"9","5","9004241","2015-02-23T00:00:00.000","0","360","360","360","0","360","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","0"
"13","5","9003386","2015-02-16T00:00:00.000","0","210","210","210","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","0"
"14","5","9003339","2015-02-23T00:00:00.000","0","180","180","180","0","0","0","180","0","0","0","180","180","0","0","0","180","0","0","0","7","1","0","0"
"15","5","9003881","2015-02-23T00:00:00.000","0","120","120","120","0","0","0","60","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","0"
"10","5","9003284","2015-02-16T00:00:00.000","0","180","180","180","0","0","0","0","0","0","0","180","180","0","0","0","0","0","0","0","7","1","0","0"
"11","5","9003284","2015-02-23T00:00:00.000","0","180","180","180","0","0","0","0","0","0","0","180","180","0","0","0","0","0","0","0","7","1","0","0"
"22","4","9004645","2015-02-23T00:00:00.000","0","180","180","120","0","0","0","60","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","0"
"21","4","9003869","2015-02-23T00:00:00.000","0","180","180","120","0","0","0","60","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","0"
"16","4","9004377","2015-02-23T00:00:00.000","0","120","120","0","0","0","0","120","0","0","0","120","0","0","0","0","120","0","0","0","7","1","0","0"
"20","4","9004936","2015-02-23T00:00:00.000","0","135","135","0","0","0","0","120","0","15","0","135","0","0","0","0","120","0","15","0","7","1","0","0"
"17","4","9003792","2015-02-23T00:00:00.000","0","60","60","0","0","0","0","60","0","0","0","60","0","0","0","0","60","0","0","0","7","1","0","0"
"19","4","9004378","2015-02-23T00:00:00.000","0","615","615","0","0","0","0","240","0","180","195","615","0","0","0","0","240","0","180","195","7","1","0","0"
"18","4","9004553","2015-02-23T00:00:00.000","0","90","90","0","0","0","0","60","0","30","0","90","0","0","0","0","60","0","30","0","7","1","0","0"
