"id_droit","id_droits_agent"
"33","62"
"29","63"
"29","64"
"29","65"
"29","66"
"31","67"
"31","68"
"31","69"
"31","70"
"31","71"
"31","72"
"31","73"
"31","74"
"31","75"
"31","76"
"31","77"
"31","78"
"31","79"
"31","80"
"31","81"
"31","82"
"31","83"
"31","84"
"31","85"
"31","86"
"31","87"
"31","88"
"31","89"
"31","90"
"31","91"
"31","92"
"31","93"
"31","94"
"31","95"
"31","96"
"31","97"
"29","98"
"29","99"
"29","100"
"29","101"
"29","102"
"29","103"
"29","105"
"29","106"
"29","107"
"29","108"
"29","109"
"29","110"
"29","111"
"29","112"
"29","113"
"29","114"
"29","115"
"29","116"
"29","117"
"29","119"
"29","120"
"29","121"
"29","122"
"29","123"
"29","124"
"23","129"
"35","63"
"35","64"
"35","65"
"35","66"
"35","98"
"35","99"
"35","100"
"35","101"
"35","102"
"35","103"
"35","105"
"35","106"
"35","107"
"35","108"
"35","109"
"35","110"
"35","111"
"35","112"
"35","113"
"35","114"
"35","115"
"35","116"
"35","117"
"35","119"
"35","120"
"35","121"
"35","122"
"35","123"
"35","124"
"37","129"
"23","130"
"23","131"
"46","132"
"46","133"
"46","134"
"46","135"
"46","136"
"46","137"
"47","138"
"47","139"
"47","140"
"47","141"
"47","142"
"47","143"
