"id_etat_pointage","id_pointage","date_etat","date_maj","etat","id_agent","version"
"1","1","2014-04-30T10:16:45.915","2014-04-30T10:16:45.915","0","9005138","0"
"2","2","2014-05-06T10:24:58.373","2014-05-06T10:24:58.373","0","9003876","0"
"3","3","2014-05-06T10:24:58.375","2014-05-06T10:24:58.375","0","9003876","0"
"4","4","2014-05-06T10:24:58.377","2014-05-06T10:24:58.377","0","9003876","0"
"5","5","2014-05-06T10:24:58.377","2014-05-06T10:24:58.377","0","9003876","0"
"6","6","2014-05-06T10:24:58.378","2014-05-06T10:24:58.378","0","9003876","0"
"7","7","2014-05-06T10:24:58.379","2014-05-06T10:24:58.379","0","9003876","0"
"8","8","2014-05-06T10:24:58.379","2014-05-06T10:24:58.379","0","9003876","0"
"9","8","2014-05-06T10:30:59.432","2014-05-06T10:30:59.432","1","9002995","0"
"10","7","2014-05-06T10:34:40.264","2014-05-06T10:34:40.264","2","9002995","0"
"11","7","2014-05-06T10:35:24.321","2014-05-06T10:35:24.321","0","9002995","0"
"12","8","2014-05-06T10:35:30.089","2014-05-06T10:35:30.089","0","9002995","0"
"17","13","2014-05-13T11:32:55.210","2014-05-14T13:56:07.590","0","9004609","1"
"20","16","2014-05-14T14:00:42.657","2014-05-14T14:00:42.657","0","9004609","0"
"21","17","2014-05-14T14:07:20.866","2014-05-14T14:07:20.866","0","9004609","0"
"22","18","2014-05-14T14:07:20.868","2014-05-14T14:07:20.868","0","9004609","0"
"23","19","2014-05-14T14:07:20.869","2014-05-14T14:07:20.869","0","9004609","0"
"24","20","2014-05-14T14:07:20.869","2014-05-14T14:07:20.869","0","9004609","0"
"25","21","2014-05-14T14:07:20.869","2014-05-14T14:07:20.869","0","9004609","0"
"26","22","2014-05-14T14:07:20.869","2014-05-14T14:07:20.869","0","9004609","0"
"27","23","2014-05-14T14:08:37.076","2014-05-14T14:08:37.076","0","9004609","0"
"28","24","2014-05-14T14:08:37.077","2014-05-14T14:08:37.077","0","9004609","0"
"29","25","2014-05-14T14:08:37.077","2014-05-14T14:08:37.077","0","9004609","0"
"30","26","2014-05-14T14:18:42.385","2014-05-14T14:18:42.385","0","9004609","0"
"31","27","2014-05-14T14:18:42.386","2014-05-14T14:18:42.386","0","9004609","0"
"32","28","2014-05-14T14:18:42.386","2014-05-14T14:18:42.386","0","9004609","0"
"33","29","2014-05-14T14:22:00.766","2014-05-14T14:22:00.766","0","9004609","0"
"34","30","2014-05-14T14:22:00.767","2014-05-14T14:22:00.767","0","9004609","0"
"35","31","2014-05-14T14:22:00.768","2014-05-14T14:22:00.768","0","9004609","0"
"36","32","2014-05-14T14:22:40.235","2014-05-14T14:22:40.235","0","9004609","0"
"37","33","2014-05-14T14:24:25.775","2014-05-14T14:24:25.775","0","9004609","0"
"38","34","2014-05-14T14:28:40.259","2014-05-14T14:28:40.259","0","9004609","0"
"39","35","2014-05-14T14:28:40.260","2014-05-14T14:28:40.260","0","9004609","0"
"40","36","2014-05-14T14:28:40.260","2014-05-14T14:28:40.260","0","9004609","0"
"41","37","2014-05-14T14:28:40.260","2014-05-14T14:28:40.260","0","9004609","0"
"42","38","2014-05-14T14:28:40.260","2014-05-14T14:28:40.260","0","9004609","0"
"48","44","2014-05-14T14:30:00.563","2014-05-14T14:30:00.563","0","9004609","0"
"49","45","2014-05-14T14:30:00.565","2014-05-14T14:30:00.565","0","9004609","0"
"50","46","2014-05-14T14:30:00.565","2014-05-14T14:30:00.565","0","9004609","0"
"51","47","2014-05-14T14:30:00.565","2014-05-14T14:30:00.565","0","9004609","0"
"52","48","2014-05-14T14:30:00.565","2014-05-14T14:30:00.565","0","9004609","0"
"53","49","2014-05-14T14:31:13.277","2014-05-14T14:31:13.277","0","9004609","0"
"54","50","2014-05-14T14:31:13.278","2014-05-14T14:31:13.278","0","9004609","0"
"55","51","2014-05-14T14:31:13.278","2014-05-14T14:31:13.278","0","9004609","0"
"56","52","2014-05-14T14:32:30.190","2014-05-14T14:32:30.190","0","9004609","0"
"57","53","2014-05-14T14:32:30.191","2014-05-14T14:32:30.191","0","9004609","0"
"58","54","2014-05-14T14:32:30.191","2014-05-14T14:32:30.191","0","9004609","0"
"59","55","2014-05-14T14:33:40.553","2014-05-14T14:33:40.553","0","9004609","0"
"60","56","2014-05-14T14:35:01.336","2014-05-14T14:35:01.336","0","9004609","0"
"62","58","2014-05-14T14:35:01.338","2014-05-14T14:35:01.338","0","9004609","0"
"63","59","2014-05-14T14:39:09.628","2014-05-14T14:39:09.628","0","9004609","0"
"64","60","2014-05-14T14:40:05.099","2014-05-14T14:40:05.099","0","9004609","0"
"65","61","2014-05-14T14:40:05.100","2014-05-14T14:40:05.100","0","9004609","0"
"67","63","2014-05-14T14:41:03.860","2014-05-14T14:41:03.860","0","9004609","0"
"68","64","2014-05-14T14:42:02.601","2014-05-14T14:42:02.601","0","9004609","0"
"69","65","2014-05-14T14:42:02.603","2014-05-14T14:42:02.603","0","9004609","0"
"70","66","2014-05-14T14:42:49.936","2014-05-14T14:42:49.936","0","9004609","0"
"71","67","2014-05-14T14:42:49.936","2014-05-14T14:42:49.936","0","9004609","0"
"74","70","2014-05-14T14:58:04.688","2014-05-14T14:58:04.688","0","9004609","0"
"75","71","2014-05-14T14:58:04.689","2014-05-14T14:58:04.689","0","9004609","0"
"76","72","2014-05-14T14:58:31.072","2014-05-14T14:58:31.072","0","9004609","0"
"77","73","2014-05-14T14:59:17.323","2014-05-14T14:59:17.323","0","9004609","0"
"78","74","2014-05-15T14:48:32.502","2014-05-15T14:48:32.502","0","9004609","0"
"79","75","2014-05-15T14:48:32.502","2014-05-15T14:48:32.502","0","9004609","0"
"80","76","2014-05-15T14:48:32.502","2014-05-15T14:48:32.502","0","9004609","0"
"66","62","2014-05-14T14:40:31.962","2014-05-15T14:48:32.501","0","9004609","1"
"81","77","2014-05-15T14:50:41.341","2014-05-15T14:50:41.341","0","9004609","0"
"82","78","2014-05-15T14:50:41.342","2014-05-15T14:50:41.342","0","9004609","0"
"83","79","2014-05-15T14:51:58.456","2014-05-15T14:51:58.456","0","9004609","0"
"84","80","2014-05-19T11:06:22.980","2014-05-19T11:06:22.980","0","9004609","0"
"85","81","2014-05-19T11:06:22.982","2014-05-19T11:06:22.982","0","9004609","0"
"86","82","2014-05-19T11:06:22.982","2014-05-19T11:06:22.982","0","9004609","0"
"87","83","2014-05-19T11:06:22.982","2014-05-19T11:06:22.982","0","9004609","0"
"88","84","2014-05-19T11:06:32.893","2014-05-19T11:06:32.893","0","9004609","0"
"89","85","2014-05-19T11:07:50.195","2014-05-19T11:07:50.195","0","9004609","0"
