"id_pointage","id_agent","id_type_pointage","date_lundi","date_debut","date_fin","quantite","id_pointage_parent","id_ref_prime","is_hsup_recuperee","id_comment_motif","id_comment_commentaire","version","id_ref_type_absence"
"1","9004445","1","2014-03-31T00:00:00.000","2014-03-31T01:00:00.000","2014-03-31T02:00:00.000","NULL","NULL","NULL","NULL","1","NULL","0","2"
"2","9002995","3","2014-05-05T00:00:00.000","2014-05-07T00:00:00.000","NULL","1","NULL","51","NULL","2","NULL","0","NULL"
"3","9002995","1","2014-05-05T00:00:00.000","2014-05-08T15:30:00.000","2014-05-08T17:30:00.000","NULL","NULL","NULL","NULL","3","NULL","0","1"
"4","9002995","2","2014-05-05T00:00:00.000","2014-05-08T15:30:00.000","2014-05-08T17:30:00.000","NULL","NULL","NULL","false","4","NULL","0","NULL"
"5","9002995","3","2014-05-05T00:00:00.000","2014-05-10T00:00:00.000","NULL","1","NULL","35","NULL","5","NULL","0","NULL"
"6","9002995","3","2014-05-05T00:00:00.000","2014-05-10T00:00:00.000","NULL","1","NULL","14","NULL","6","NULL","0","NULL"
"7","9002995","3","2014-05-05T00:00:00.000","2014-05-11T00:00:00.000","NULL","1","NULL","35","NULL","7","NULL","0","NULL"
"8","9002995","3","2014-05-05T00:00:00.000","2014-05-11T00:00:00.000","NULL","1","NULL","14","NULL","8","NULL","0","NULL"
"13","9004280","1","2014-05-05T00:00:00.000","2014-05-07T07:15:00.000","2014-05-07T15:30:00.000","NULL","NULL","NULL","NULL","11","NULL","1","1"
"16","9003408","1","2014-05-05T00:00:00.000","2014-05-06T14:00:00.000","2014-05-06T15:30:00.000","NULL","NULL","NULL","NULL","14","NULL","0","1"
"17","9004522","1","2014-05-05T00:00:00.000","2014-05-05T14:00:00.000","2014-05-05T15:30:00.000","NULL","NULL","NULL","NULL","15","NULL","0","1"
"18","9004522","2","2014-05-05T00:00:00.000","2014-05-05T04:45:00.000","2014-05-05T07:15:00.000","NULL","NULL","NULL","true","16","NULL","0","NULL"
"19","9004522","1","2014-05-05T00:00:00.000","2014-05-06T07:15:00.000","2014-05-06T15:30:00.000","NULL","NULL","NULL","NULL","17","NULL","0","1"
"20","9004522","2","2014-05-05T00:00:00.000","2014-05-06T04:45:00.000","2014-05-06T07:15:00.000","NULL","NULL","NULL","false","18","NULL","0","NULL"
"21","9004522","1","2014-05-05T00:00:00.000","2014-05-07T07:15:00.000","2014-05-07T15:30:00.000","NULL","NULL","NULL","NULL","19","NULL","0","1"
"22","9004522","2","2014-05-05T00:00:00.000","2014-05-07T17:15:00.000","2014-05-07T19:30:00.000","NULL","NULL","NULL","false","20","NULL","0","NULL"
"23","9003578","2","2014-05-05T00:00:00.000","2014-05-05T17:15:00.000","2014-05-05T19:30:00.000","NULL","NULL","NULL","false","21","NULL","0","NULL"
"24","9003578","2","2014-05-05T00:00:00.000","2014-05-06T17:15:00.000","2014-05-06T19:30:00.000","NULL","NULL","NULL","false","22","NULL","0","NULL"
"25","9003578","2","2014-05-05T00:00:00.000","2014-05-07T17:15:00.000","2014-05-07T19:30:00.000","NULL","NULL","NULL","false","23","NULL","0","NULL"
"26","9003305","2","2014-05-05T00:00:00.000","2014-05-06T04:45:00.000","2014-05-06T07:15:00.000","NULL","NULL","NULL","true","24","NULL","0","NULL"
"27","9003305","2","2014-05-05T00:00:00.000","2014-05-07T04:45:00.000","2014-05-07T07:15:00.000","NULL","NULL","NULL","true","25","NULL","0","NULL"
"28","9003305","2","2014-05-05T00:00:00.000","2014-05-09T04:45:00.000","2014-05-09T06:45:00.000","NULL","NULL","NULL","true","26","NULL","0","NULL"
"29","9004173","2","2014-05-05T00:00:00.000","2014-05-05T04:45:00.000","2014-05-05T07:15:00.000","NULL","NULL","NULL","true","27","NULL","0","NULL"
"30","9004173","1","2014-05-05T00:00:00.000","2014-05-06T14:00:00.000","2014-05-06T15:30:00.000","NULL","NULL","NULL","NULL","28","NULL","0","1"
"31","9004173","2","2014-05-05T00:00:00.000","2014-05-09T04:45:00.000","2014-05-09T06:45:00.000","NULL","NULL","NULL","true","29","NULL","0","NULL"
"32","9003304","1","2014-05-05T00:00:00.000","2014-05-07T07:15:00.000","2014-05-07T15:30:00.000","NULL","NULL","NULL","NULL","30","NULL","0","2"
"33","9004634","2","2014-05-05T00:00:00.000","2014-05-05T15:30:00.000","2014-05-05T16:30:00.000","NULL","NULL","NULL","true","31","NULL","0","NULL"
"34","9004430","1","2014-04-28T00:00:00.000","2014-04-28T07:15:00.000","2014-04-28T15:00:00.000","NULL","NULL","NULL","NULL","32","NULL","0","2"
"35","9004430","1","2014-04-28T00:00:00.000","2014-04-29T07:15:00.000","2014-04-29T15:00:00.000","NULL","NULL","NULL","NULL","33","NULL","0","2"
"36","9004430","1","2014-04-28T00:00:00.000","2014-04-30T07:15:00.000","2014-04-30T15:00:00.000","NULL","NULL","NULL","NULL","34","NULL","0","2"
