"id_ref_prime","norubr","libelle","description","type_saisie","aide","mairie_prime","is_calculee","statut","version"
"1","7711","INDEMNITE HORAIRE TRAVAIL DE NUIT DPM","NULL","1","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse rutrum augue nec congue imperdiet. In orci augue, elementum quis tristique at, egestas volutpat massa. Phasellus lacinia condimentum fringilla. Quisque porttitor congue erat ultricies iaculis. Donec dapibus ultrices laoreet nullam.","SPPPRM","true","F","0"
"2","7711","INDEMNITE HORAIRE TRAVAIL DE NUIT DPM","NULL","1","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse rutrum augue nec congue imperdiet. In orci augue, elementum quis tristique at, egestas volutpat massa. Phasellus lacinia condimentum fringilla. Quisque porttitor congue erat ultricies iaculis. Donec dapibus ultrices laoreet nullam.","SPPPRM","true","C","0"
"3","7711","INDEMNITE HORAIRE TRAVAIL DE NUIT DPM","NULL","1","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse rutrum augue nec congue imperdiet. In orci augue, elementum quis tristique at, egestas volutpat massa. Phasellus lacinia condimentum fringilla. Quisque porttitor congue erat ultricies iaculis. Donec dapibus ultrices laoreet nullam.","SPPPRM","true","CC","0"
"4","7712","INDEMNITE HORAIRE TRAVAIL DJF DPM","NULL","1","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse rutrum augue nec congue imperdiet. In orci augue, elementum quis tristique at, egestas volutpat massa. Phasellus lacinia condimentum fringilla. Quisque porttitor congue erat ultricies iaculis. Donec dapibus ultrices laoreet nullam.","SPPPRM","true","F","0"
"5","7712","INDEMNITE HORAIRE TRAVAIL DJF DPM","NULL","1","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse rutrum augue nec congue imperdiet. In orci augue, elementum quis tristique at, egestas volutpat massa. Phasellus lacinia condimentum fringilla. Quisque porttitor congue erat ultricies iaculis. Donec dapibus ultrices laoreet nullam.","SPPPRM","true","C","0"
"6","7713","INDEMNITE DE PANIER DPM","NULL","2","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse rutrum augue nec congue imperdiet. In orci augue, elementum quis tristique at, egestas volutpat massa. Phasellus lacinia condimentum fringilla. Quisque porttitor congue erat ultricies iaculis. Donec dapibus ultrices laoreet nullam.","SPPPRM","true","F","0"
"7","7713","INDEMNITE DE PANIER DPM","NULL","2","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse rutrum augue nec congue imperdiet. In orci augue, elementum quis tristique at, egestas volutpat massa. Phasellus lacinia condimentum fringilla. Quisque porttitor congue erat ultricies iaculis. Donec dapibus ultrices laoreet nullam.","SPPPRM","true","C","0"
"8","7713","INDEMNITE DE PANIER DPM","NULL","2","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse rutrum augue nec congue imperdiet. In orci augue, elementum quis tristique at, egestas volutpat massa. Phasellus lacinia condimentum fringilla. Quisque porttitor congue erat ultricies iaculis. Donec dapibus ultrices laoreet nullam.","SPPPRM","true","CC","0"
"9","7715","INDEMNITE DE ROULEMENT","Les agents ""de terrain"" de la DPM fonctionnent par ""roulements"" sur une journée de 24h et saisissent ainsi une ""indemnité de roulement"" sous la forme d’heures de début et de fin de travail. Cette indemnité n’est pas valorisée elle-même financièrement mais sert juste à déduire  les 7711, 7712 et 7713","3","Saisir l'heure de début et l'heure de fin du roulement","NULL","false","F","0"
"10","7722","INDEMNITE TVX INSAL. DANG. 25%","NULL","1","Saisir le nombre d'heures effectuées par jour","SPPRIM","false","C","0"
