"id_ventil_task","id_agent","id_agent_creation","date_creation","type_chaine_paie","id_type_pointage","id_ventil_date_from","id_ventil_date_to","date_ventilation","task_status","version"
"1","9003305","9005285","2014-07-30T14:15:59.093","SHC","NULL","1","4","2014-07-30T14:16:01.976","OK","0"
"2","9003236","9005285","2014-07-30T14:15:59.103","SHC","NULL","1","4","2014-07-30T14:16:02.897","OK","0"
"3","9004522","9005285","2014-07-30T14:15:59.108","SHC","NULL","1","4","2014-07-30T14:16:04.319","OK","0"
"4","9004473","9005285","2014-07-30T14:15:59.114","SHC","NULL","1","4","2014-07-30T14:16:04.683","OK","0"
"5","9004173","9005285","2014-07-30T14:35:03.644","SCV","NULL","2","3","2014-07-30T14:36:00.991","OK","0"
"6","9004430","9005285","2014-07-30T14:35:03.655","SCV","NULL","2","3","2014-07-30T14:36:01.919","OK","0"
"7","9003408","9005285","2014-07-30T14:35:03.661","SCV","NULL","2","3","2014-07-30T14:36:02.292","OK","0"
"8","9003578","9005285","2014-07-30T14:35:03.668","SCV","NULL","2","3","2014-07-30T14:36:03.056","OK","0"
"9","9004280","9005285","2014-07-30T14:35:03.671","SCV","NULL","2","3","2014-07-30T14:36:03.402","OK","0"
"10","9004472","9005285","2014-07-30T14:35:03.673","SCV","NULL","2","3","2014-07-30T14:36:03.604","OK","0"
"11","9004634","9005285","2014-07-30T14:35:03.683","SCV","NULL","2","3","2014-07-30T14:36:03.971","OK","0"
"12","9003304","9005285","2014-07-30T14:35:03.686","SCV","NULL","2","3","2014-07-30T14:36:04.343","OK","0"
"13","9003305","9005138","2014-07-31T09:57:55.849","SHC","NULL","1","4","2014-07-31T09:58:03.779","OK","0"
"14","9003236","9005138","2014-07-31T09:57:55.980","SHC","NULL","1","4","2014-07-31T09:58:04.456","OK","0"
"15","9004473","9005138","2014-07-31T09:57:56.009","SHC","NULL","1","4","2014-07-31T09:58:04.809","OK","0"
"16","9004522","9005138","2014-07-31T09:57:56.030","SHC","NULL","1","4","2014-07-31T09:58:06.182","OK","0"
"17","9003742","9003069","2014-08-01T16:02:30.495","SHC","NULL","1","4","2014-08-01T16:04:00.356","OK","0"
"18","9004955","9003069","2014-08-01T16:02:30.526","SHC","NULL","1","4","2014-08-01T16:04:01.584","OK","0"
"19","9004209","9003069","2014-08-01T16:02:30.542","SHC","NULL","1","4","2014-08-01T16:04:02.179","OK","0"
"20","9002995","9003069","2014-08-01T16:02:30.552","SHC","NULL","1","4","2014-08-01T16:04:02.612","OK","0"
